scenario,label,trades,retention,win_rate,mean_return_2x,median_return_2x,failure_rejected_rate,winner_rejected_rate,positive_months,months
no_filter,不筛选,365,1.0,0.3013698630136986,-0.017932018019024706,-0.15213783459848182,0.0,0.0,1,6
top_25,保留模型评分最高25%附近,89,0.24383561643835616,0.34831460674157305,0.02640834035699089,-0.12134218289085556,0.7725490196078432,0.7181818181818183,1,6
top_40,保留模型评分最高40%附近,124,0.33972602739726027,0.2903225806451613,-0.005650974280370577,-0.13150755140104053,0.6549019607843137,0.6727272727272727,1,6
top_50,保留模型评分最高50%附近,159,0.43561643835616437,0.31446540880503143,-0.004496328490459541,-0.12899768625636254,0.5725490196078431,0.5454545454545454,1,6
top_67,保留模型评分最高67%附近,231,0.6328767123287671,0.30735930735930733,-0.0050866106416333065,-0.12959177215189874,0.37254901960784315,0.3545454545454545,1,6
top_75,保留模型评分最高75%附近,261,0.7150684931506849,0.30268199233716475,-0.011852976268265125,-0.13736780812422034,0.28627450980392155,0.28181818181818186,1,6
bottom_50,模型评分较低约50%（反向对照）,206,0.5643835616438356,0.2912621359223301,-0.02830228323767452,-0.165503793386642,0.4274509803921569,0.4545454545454546,2,6
bottom_25,模型评分最低约25%（反向对照）,104,0.28493150684931506,0.2980769230769231,-0.03318807472045019,-0.16669822571310366,0.7137254901960784,0.7181818181818183,2,6
