month,scenario,trades,win_rate,mean_return_2x,median_return_2x
2026-02,no_filter,49,0.24489795918367346,-0.058560476346075065,-0.16687849540659036
2026-02,top_25,16,0.25,-0.04688580772049497,-0.16760667239626303
2026-02,top_50,19,0.3157894736842105,-0.02448165190088837,-0.1409626787913233
2026-02,top_67,26,0.3076923076923077,-0.03349040031127,-0.10436910013035477
2026-03,no_filter,64,0.390625,-0.004978978182317595,-0.12024135479152921
2026-03,top_25,8,0.375,-0.06086061592488153,-0.1678178770435183
2026-03,top_50,19,0.3684210526315789,-0.07333203294561727,-0.16609900990099
2026-03,top_67,29,0.3793103448275862,-0.0273230625151479,-0.135436923076923
2026-04,no_filter,71,0.5774647887323944,0.12238145086003949,0.018755448997384582
2026-04,top_25,23,0.782608695652174,0.2737000005656803,0.11483644428016983
2026-04,top_50,35,0.6857142857142857,0.1724255953997136,0.06326187290969897
2026-04,top_67,48,0.6458333333333334,0.1646671052429585,0.048225062517760806
2026-05,no_filter,60,0.18333333333333332,-0.056045601434771206,-0.16949020075676763
2026-05,top_25,18,0.2222222222222222,-0.03124999312860755,-0.16904075825068796
2026-05,top_50,40,0.2,-0.025855623708425417,-0.16904075825068796
2026-05,top_67,54,0.18518518518518517,-0.050655083123304405,-0.16977915424973594
2026-06,no_filter,66,0.25757575757575757,-0.04671151790469958,-0.1603477964759025
2026-06,top_25,15,0.13333333333333333,-0.06859391825777882,-0.12134218289085556
2026-06,top_50,22,0.22727272727272727,-0.038979838951849415,-0.09664294773285295
2026-06,top_67,34,0.2647058823529412,-0.017285503445892355,-0.1406447404515688
2026-07,no_filter,55,0.07272727272727272,-0.10182646137426131,-0.1684698341925597
2026-07,top_25,9,0,-0.12403235779220742,-0.16805660377358497
2026-07,top_50,24,0,-0.12498211048382217,-0.16811097665882896
2026-07,top_67,40,0.05,-0.10232068207570537,-0.16811097665882896
