model,oos_completed_trades,oos_months,base_win_rate,auc,brier,constant_base_brier,log_loss
volume,365,"2026-02,2026-03,2026-04,2026-05,2026-06,2026-07",0.3013698630136986,0.42955436720142604,0.22372749653601082,0.21054606868080314,0.642811549521806
cex,365,"2026-02,2026-03,2026-04,2026-05,2026-06,2026-07",0.3013698630136986,0.4766844919786096,0.2216960090329688,0.21054606868080314,0.6346145207834726
price_action,365,"2026-02,2026-03,2026-04,2026-05,2026-06,2026-07",0.3013698630136986,0.37971479500891264,0.22602975086479177,0.21054606868080314,0.6486004992699146
market,365,"2026-02,2026-03,2026-04,2026-05,2026-06,2026-07",0.3013698630136986,0.39040998217468803,0.2403340500632348,0.21054606868080314,0.6883924811123345
full,365,"2026-02,2026-03,2026-04,2026-05,2026-06,2026-07",0.3013698630136986,0.46741532976827094,0.24770481845114703,0.21054606868080314,0.7225805295256967
