minimum_f7c_share,top_fraction,maximum_hold_days,signal_episodes,closed_trades,win_rate,mean_trade_return,median_trade_return,trimmed_trade_return,portfolio_return,max_drawdown,average_exposure
0.0005,0.1,7,583,143,0.4755244755244755,-0.013330317356499363,-0.004138660253109797,-0.02601285541783476,-0.518129352205172,-0.5940276653486477,0.8791905800419689
0.0005,0.1,14,583,131,0.4732824427480916,-0.012175461106914734,-0.005512252015937501,-0.028774475095316405,-0.48049000858447055,-0.6517409503335628,0.8845009089354676
0.0005,0.1,21,583,133,0.48872180451127817,-0.01231223566915233,-0.0019696647314506746,-0.027269108107280074,-0.48885740793407195,-0.6573501255059822,0.8823274414599522
0.0005,0.2,7,609,151,0.4966887417218543,-0.0035999183086995283,-0.001969664731450747,-0.023011624916047756,-0.297955865888877,-0.5394593855071181,0.8767066906615527
0.0005,0.2,14,609,139,0.4748201438848921,-0.003821296592956896,-0.005180569648292807,-0.026532432534392726,-0.3027020069188143,-0.6333325380223003,0.878280067333332
0.0005,0.2,21,609,137,0.4744525547445255,-0.006142005951476609,-0.005180569648292837,-0.027617331760905008,-0.34330316317763954,-0.6546822666411953,0.8765965702081119
0.0005,0.3,7,609,151,0.4966887417218543,-0.0035999183086995283,-0.001969664731450747,-0.023011624916047756,-0.297955865888877,-0.5394593855071181,0.8767066906615527
0.0005,0.3,14,609,139,0.4748201438848921,-0.003821296592956896,-0.005180569648292807,-0.026532432534392726,-0.3027020069188143,-0.6333325380223003,0.878280067333332
0.0005,0.3,21,609,137,0.4744525547445255,-0.006142005951476609,-0.005180569648292837,-0.027617331760905008,-0.34330316317763954,-0.6546822666411953,0.8765965702081119
0.001,0.1,7,485,136,0.4485294117647059,-0.013912961392980318,-0.005883961246582474,-0.032136189570658086,-0.525397001087496,-0.6363654272300348,0.8561806941995056
0.001,0.1,14,485,131,0.45038167938931295,-0.019111078883924104,-0.006255670477227353,-0.03295130671318115,-0.5957423682258496,-0.7293042186323389,0.8599167974533268
0.001,0.1,21,485,132,0.4696969696969697,-0.01682945085141644,-0.005111613474861902,-0.02988730996114281,-0.5600010649909669,-0.7053714113188327,0.8615448301991373
0.001,0.2,7,492,138,0.43478260869565216,-0.015134125227870221,-0.010998373567307991,-0.03395976430272208,-0.5527354145911562,-0.657311759927871,0.8494227256856428
0.001,0.2,14,492,129,0.4418604651162791,-0.017719523716618318,-0.007762095869769816,-0.033996825020743256,-0.5668842465138733,-0.7099804726059664,0.8630777208604811
0.001,0.2,21,492,130,0.45384615384615384,-0.01762744788011762,-0.005883961246582484,-0.03259665822733666,-0.5691666587228141,-0.7115088033231649,0.8596885282775459
0.001,0.3,7,492,138,0.43478260869565216,-0.015134125227870221,-0.010998373567307991,-0.03395976430272208,-0.5527354145911562,-0.657311759927871,0.8494227256856428
0.001,0.3,14,492,129,0.4418604651162791,-0.017719523716618318,-0.007762095869769816,-0.033996825020743256,-0.5668842465138733,-0.7099804726059664,0.8630777208604811
0.001,0.3,21,492,130,0.45384615384615384,-0.01762744788011762,-0.005883961246582484,-0.03259665822733666,-0.5691666587228141,-0.7115088033231649,0.8596885282775459
0.002,0.1,7,365,136,0.4632352941176471,-0.014659860157654463,-0.013399280478697371,-0.030175280374725236,-0.538631644705456,-0.6225241789601061,0.8136100795632795
0.002,0.1,14,365,127,0.47244094488188976,-0.011090177232048911,-0.005512252015937518,-0.028074453652832967,-0.460309675365694,-0.5909704837835672,0.8154191324291481
0.002,0.1,21,365,127,0.49606299212598426,-0.008965222289446005,-0.001969664731450725,-0.02529934659918361,-0.41347394674396243,-0.5450780486390674,0.8118876204314108
0.002,0.2,7,364,136,0.47058823529411764,-0.014251362106715456,-0.005883961246582489,-0.029670228239018832,-0.5307192532120939,-0.6160505306461919,0.812590080366993
0.002,0.2,14,364,126,0.46825396825396826,-0.014642895443151262,-0.005760749672033011,-0.02883931085556127,-0.5163477813981272,-0.6334415794358057,0.8134315351948471
0.002,0.2,21,364,126,0.48412698412698413,-0.01291706622694837,-0.005111613474861927,-0.026386408655559256,-0.4857456496074908,-0.6011335024630454,0.8116809954244613
0.002,0.3,7,364,136,0.47058823529411764,-0.014251362106715456,-0.005883961246582489,-0.029670228239018832,-0.5307192532120939,-0.6160505306461919,0.812590080366993
0.002,0.3,14,364,126,0.46825396825396826,-0.014642895443151262,-0.005760749672033011,-0.02883931085556127,-0.5163477813981272,-0.6334415794358057,0.8134315351948471
0.002,0.3,21,364,126,0.48412698412698413,-0.01291706622694837,-0.005111613474861927,-0.026386408655559256,-0.4857456496074908,-0.6011335024630454,0.8116809954244613
