feature,label,winner_median,loser_median,winner_minus_loser_median,bootstrap_ci_low,bootstrap_ci_high,higher_value_win_auc,spearman_to_return
signal_volume_ratio20,信号日成交量/此前20日中位数,1.0,1.196855729061141,-0.19685572906114102,-0.4155236557474851,-0.008788613616016943,0.43022190553745926,-0.15442272625868636
signal_range_pct,信号日振幅,0.07960964574493712,0.09381095938996298,-0.01420131364502586,-0.02812605400237058,0.0003660587515621542,0.43864515472312704,-0.13836031643871638
return_30d,信号前30日涨幅,-0.13308111774295478,-0.10222575516693155,-0.030855362576023226,-0.10272231371123797,0.01553141502149535,0.4487988599348534,-0.0985544698588723
rank_pct,横截面排名分位,0.05917159763313609,0.05917159763313609,0.0,-0.0069865259855992,0.016791723105439506,0.5466332451140065,0.09973373180943863
flow_to_signal_volume,7日CEX净流入/信号日成交量,0.01945464620321656,0.0134761456018408,0.005978500601375761,-0.00020722829100602925,0.010850658710243688,0.5420144543973942,0.1170652783758044
return_14d,信号前14日涨幅,-0.07008132912901338,-0.04246011322696863,-0.02762121590204475,-0.057705958861191356,0.024402146135949362,0.4689790309446254,-0.03535478521091273
recent_7d_runup,近7日最高涨幅,0.11206531562478705,0.12524315427203359,-0.013177838647246531,-0.04192448952736428,0.011248697076711793,0.47315248371335505,-0.0549162738250314
market_positive_breadth_7d,币池近7日上涨占比,0.3875739644970414,0.40236686390532544,-0.014792899408284044,-0.08875739644970415,0.06511370927496968,0.47686787459283386,-0.024103113954369693
market_median_return_30d,币池近30日收益中位数,-0.08077015802047033,-0.08039289316513615,-0.00037726485533418064,-0.026507480604855527,0.015971867774219328,0.477376832247557,-0.07673640861641998
return_7d,信号前7日涨幅,-0.034626210930847556,-0.025581395348837188,-0.009044815582010368,-0.02652092269751899,0.007860697196368286,0.47798758143322473,-0.028463771847218957
market_positive_breadth_30d,币池近30日上涨占比,0.2603550295857988,0.27710843373493976,-0.01675340414914095,-0.06508875739644973,0.023668639053254475,0.4796671416938111,-0.06954701431289852
market_median_return_7d,币池近7日收益中位数,-0.013292433537832271,-0.014613319248206302,0.0013208857103740312,-0.020628580940632562,0.009870447085537753,0.4803542345276873,-0.02153363912210139
signal_day_return,信号日开收涨幅,-0.0007493455702307639,-0.005525317499587734,0.00477597192935697,-0.010752347151830663,0.01524307173188207,0.5178135179153095,0.09726214632409025
distance_20d_high,距20日最高价,-0.2271807921152263,-0.22545633941785892,-0.0017244526973673735,-0.02890392738413585,0.023459857743250156,0.48669075732899025,0.00832605678991344
return_3d,信号前3日涨幅,-0.00574871045790154,-0.007651109410864554,0.0019023989529630136,-0.019893209249461787,0.02459964824028309,0.5125203583061889,0.03547192427407868
flow_to_median20_volume,7日CEX净流入/此前20日中位成交量,0.020713192349761482,0.02327531905300136,-0.0025621267032398774,-0.010496894234179835,0.006474740578010731,0.48837031758957655,0.012728575126329066
prior7_max_volume_ratio,此前7日最大量/更早20日中位量,2.35349156418793,2.5379752103789732,-0.18448364619104307,-0.811280123064567,0.7048825902140854,0.48959181596091206,-0.02975280853993975
recent_5x_volume,此前7日是否出现5倍量,0.0,0.0,0.0,0.0,0.0,0.49371437296416937,-0.038066133153249776
flow_to_prior7_volume,7日CEX净流入/此前7日总成交量,0.0022203866428727975,0.0019358900638082163,0.0002844965790645812,-0.0007059840015247454,0.0009005019185969553,0.49379071661237783,0.03872579100476333
f7c_share,F7c/Cluster,0.0021243260494654874,0.0020603343289277818,6.399172053770568e-05,-0.0003881894549733053,0.0007332166639924429,0.498536746742671,-0.02281820591594484
