symbol,signal_episodes,executed_trades,skipped_same_symbol_overlap,right_censored_trades,winning_trades,win_rate,final_equity,total_return,classification
PLUME,3,3,0,0,1,0.3333333333333333,0.9486003279408542,-0.05139967205914575,negative
UMA,0,0,0,0,0,,1.0,0.0,no_trade
MAGIC,4,4,0,0,3,0.75,1.0493799216335076,0.04937992163350757,positive
MASK,0,0,0,0,0,,1.0,0.0,no_trade
SFP,1,1,0,0,0,0.0,0.9488114888628371,-0.05118851113716294,negative
IOST,6,4,2,0,1,0.25,0.8567077062038786,-0.1432922937961214,negative
MUBARAK,3,3,0,0,0,0.0,0.8603967454044299,-0.1396032545955701,negative
USELESS,5,5,0,0,1,0.2,0.8833307544273774,-0.11666924557262259,negative
AVNT,2,2,0,0,0,0.0,0.8989175049195378,-0.10108249508046219,negative
ACH,0,0,0,0,0,,1.0,0.0,no_trade
RIVER,4,4,0,0,1,0.25,1.0312278011480156,0.0312278011480156,positive
AIXBT,7,6,1,1,1,0.16666666666666666,0.8147427817902817,-0.1852572182097183,negative
NEWT,9,8,1,0,3,0.375,0.939081898878169,-0.06091810112183105,negative
GMX,1,1,0,0,0,0.0,0.9462134732566011,-0.0537865267433989,negative
ZRO,2,1,1,0,0,0.0,0.990059848234906,-0.009940151765093996,negative
VIRTUAL,4,4,0,0,2,0.5,0.9999392813704214,-6.0718629578571104e-05,negative
XVS,3,3,0,0,0,0.0,0.859306106300735,-0.140693893699265,negative
SANTOS,0,0,0,0,0,,1.0,0.0,no_trade
USUAL,4,3,1,0,0,0.0,0.88931123688392,-0.11068876311608,negative
COOKIE,13,12,1,1,5,0.4166666666666667,0.8987877538258149,-0.10121224617418512,negative
BMT,1,1,0,0,0,0.0,0.9480178343949045,-0.0519821656050955,negative
GLM,0,0,0,0,0,,1.0,0.0,no_trade
NXPC,2,2,0,0,1,0.5,1.019313962296953,0.019313962296952925,positive
POPCAT,13,10,3,0,3,0.3,0.9186454678019511,-0.08135453219804889,negative
BIGTIME,0,0,0,0,0,,1.0,0.0,no_trade
1000BONK,1,1,0,0,0,0.0,0.9436283502084575,-0.05637164979154252,negative
TRB,4,4,0,0,0,0.0,0.7904794037332102,-0.20952059626678976,negative
KMNO,2,2,0,0,0,0.0,0.9471413232539923,-0.05285867674600775,negative
ARKM,0,0,0,0,0,,1.0,0.0,no_trade
BNT,1,1,0,0,0,0.0,0.9768963338301043,-0.023103666169895676,negative
ELSA,4,4,0,0,4,1.0,1.1654898486089695,0.16548984860896954,positive
PEOPLE,1,1,0,0,1,1.0,1.0814106015485407,0.08141060154854074,positive
1000FLOKI,1,1,0,0,1,1.0,1.0048967711890717,0.004896771189071725,positive
WLFI,0,0,0,0,0,,1.0,0.0,no_trade
WOO,3,3,0,0,1,0.3333333333333333,0.9501262126467978,-0.04987378735320225,negative
IMX,0,0,0,0,0,,1.0,0.0,no_trade
FARTCOIN,7,7,0,0,2,0.2857142857142857,1.029016954899205,0.029016954899204972,positive
ACU,3,3,0,0,1,0.3333333333333333,0.9528104151537243,-0.04718958484627567,negative
LQTY,1,1,0,0,0,0.0,0.9997662015503875,-0.00023379844961246565,negative
MEW,0,0,0,0,0,,1.0,0.0,no_trade
SSV,1,1,0,0,0,0.0,0.9543586496204555,-0.04564135037954453,negative
STBL,0,0,0,0,0,,1.0,0.0,no_trade
SEI,0,0,0,0,0,,1.0,0.0,no_trade
ARB,1,1,0,0,0,0.0,0.9991372037914692,-0.0008627962085308027,negative
