scenario,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,margin_fraction_of_equity,notional,xsec_score,xsec_rank_pct,entry_fee,exit_pnl_after_exit_fee,exit_events,exit_time_utc,total_net_pnl,return_on_allocated_margin
baseline_f7c_k3_equal,074-SXT-2026-01-31,SXT,2026-01-31,2026-02-01T00:00:00+00:00,1.0,0.3,0.3,0.6,-0.0019667423280725874,1.0,0.0012,-0.058122688451541,1,2026-02-03T17:00:00+00:00,-0.059322688451541,-0.19774229483847
baseline_f7c_k3_equal,075-ZORA-2026-02-01,ZORA,2026-02-01,2026-02-02T00:00:00+00:00,0.9785252135165244,0.2935575640549573,0.3,0.5871151281099146,0.11288570032980487,1.0,0.0011742302562198293,-0.024470949429999406,2,2026-02-03T05:35:00+00:00,-0.025645179686219235,-0.08735996896819244
baseline_f7c_k3_equal,076-IOST-2026-02-01,IOST,2026-02-01,2026-02-02T00:00:00+00:00,0.9785252135165244,0.2935575640549573,0.3,0.5871151281099146,0.05373358699792203,0.5,0.0011742302562198293,-0.04813411448853762,1,2026-02-05T11:25:00+00:00,-0.04930834474475745,-0.16796823104693145
baseline_f7c_k3_equal,079-ACU-2026-02-03,ACU,2026-02-03,2026-02-04T00:00:00+00:00,0.918520909843716,0.2755562729531148,0.3,0.5511125459062296,-0.0019667423280725874,1.0,0.0011022250918124592,0.0006167720353734091,2,2026-02-05T06:20:00+00:00,-0.0004854530564390501,-0.0017617202150271814
baseline_f7c_k3_equal,080-RIVER-2026-02-04,RIVER,2026-02-04,2026-02-05T00:00:00+00:00,0.8942788521827428,0.2682836556548228,0.3,0.5365673113096456,0.07979426883806622,1.0,0.0010731346226192913,-0.04569764934653811,1,2026-02-05T15:35:00+00:00,-0.0467707839691574,-0.17433333333333317
baseline_f7c_k3_equal,082-KMNO-2026-02-06,KMNO,2026-02-06,2026-02-07T00:00:00+00:00,0.8184675500918858,0.2455402650275657,0.3,0.4910805300551314,-0.0034036636048500285,0.0,0.0009821610601102627,-0.04008324849354841,1,2026-02-11T04:45:00+00:00,-0.04106540955365867,-0.16724511374559461
baseline_f7c_k3_equal,083-USELESS-2026-02-06,USELESS,2026-02-06,2026-02-07T00:00:00+00:00,0.8184675500918858,0.2455402650275657,0.3,0.4910805300551314,-0.0027585114094423216,0.5,0.0009821610601102627,-0.04244775594678589,1,2026-02-07T07:15:00+00:00,-0.04342991700689615,-0.17687492925863083
baseline_f7c_k3_equal,084-MELANIA-2026-02-06,MELANIA,2026-02-06,2026-02-07T00:00:00+00:00,0.8184675500918858,0.2455402650275657,0.3,0.4910805300551314,0.0002619480300745879,1.0,0.0009821610601102627,-0.04198186969795862,1,2026-02-10T10:35:00+00:00,-0.042964030758068886,-0.17497753679318342
baseline_f7c_k3_equal,085-ELSA-2026-02-07,ELSA,2026-02-07,2026-02-08T00:00:00+00:00,0.7617824628995332,0.22853473886985995,0.3,0.4570694777397199,0.07979426883806622,1.0,0.0009141389554794398,0.02045908609873765,2,2026-02-12T16:45:00+00:00,0.01954494714325821,0.08552287166454883
baseline_f7c_k3_equal,088-MAGIC-2026-02-11,MAGIC,2026-02-11,2026-02-12T00:00:00+00:00,0.7223854897231053,0.2167156469169316,0.3,0.4334312938338632,-0.10965349347596524,0.0,0.0008668625876677264,0.005319375457447084,2,2026-02-19T01:35:00+00:00,0.0044525128697793575,0.0205454148471616
baseline_f7c_k3_equal,089-TNSR-2026-02-11,TNSR,2026-02-11,2026-02-12T00:00:00+00:00,0.7223854897231053,0.2167156469169316,0.3,0.4334312938338632,0.1471430698041023,1.0,0.0008668625876677264,0.00032375705034859995,2,2026-02-13T04:35:00+00:00,-0.0005431055373191264,-0.00250607441154123
baseline_f7c_k3_equal,093-POPCAT-2026-02-12,POPCAT,2026-02-12,2026-02-13T00:00:00+00:00,0.7200067520133286,0.2160020256039986,0.3,0.4320040512079972,-0.07733312793802653,0.0,0.0008640081024159944,0.034805851578981,2,2026-02-15T13:00:00+00:00,0.03394184347656501,0.15713669064748198
baseline_f7c_k3_equal,095-RECALL-2026-02-13,RECALL,2026-02-13,2026-02-14T00:00:00+00:00,0.7269536436112446,0.21808609308337337,0.3,0.43617218616674674,0.06596869661822616,1.0,0.0008723443723334935,0.008885760937264542,2,2026-02-15T13:40:00+00:00,0.008013416564931049,0.03674428044280455
baseline_f7c_k3_equal,103-COOKIE-2026-02-15,COOKIE,2026-02-15,2026-02-16T00:00:00+00:00,0.7502782561678415,0.22508347685035243,0.3,0.45016695370070486,0.05569954027388554,1.0,0.0009003339074014098,-0.03734629994367563,1,2026-02-19T13:40:00+00:00,-0.03824663385107704,-0.16992199687987516
baseline_f7c_k3_equal,104-WET-2026-02-15,WET,2026-02-15,2026-02-16T00:00:00+00:00,0.7502782561678415,0.22508347685035243,0.3,0.45016695370070486,-0.03681477972900716,0.3333333333333333,0.0009003339074014098,-0.01262713082776027,2,2026-02-19T01:05:00+00:00,-0.013527464735161681,-0.060099767981438575
baseline_f7c_k3_equal,109-AWE-2026-02-20,AWE,2026-02-20,2026-02-21T00:00:00+00:00,0.7046437087042375,0.21139311261127125,0.3,0.4227862252225425,-0.03406581464057117,0.0,0.000845572450445085,-0.034666607658240735,1,2026-02-22T01:40:00+00:00,-0.03551218010868582,-0.16799118793424847
