case_id,symbol,signal_date,entry_date,executed_independent,executed_shared,right_censored_mark,target_return_2x,profitable,f7c_share,flow_to_signal_volume,flow_to_median20_volume,flow_to_prior7_volume,rank_pct,signal_volume_ratio20,return_3d,return_7d,return_14d,return_30d,recent_7d_runup,distance_20d_high,recent_5x_volume,prior7_max_volume_ratio,signal_day_return,signal_range_pct,market_median_return_7d,market_positive_breadth_7d,market_median_return_30d,market_positive_breadth_30d,available_history_days_from_2025
001-NIL-2026-01-01,NIL,2026-01-01,2026-01-02,True,True,False,-0.17532301996562216,0,0.6829519710116858,12.02741522963963,4.470386955141877,0.32208065570244176,0.006024096385542169,0.3716830981377718,0.008131165022660536,0.12762785149843436,0.3681259044862517,0.008400000000000185,0.2797077680035782,-0.11883956658511008,1,9.342865480810989,0.031083844580777065,0.04856512141280356,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,282
002-SXT-2026-01-01,SXT,2026-01-01,2026-01-02,True,True,False,0.3389139293139295,1,0.013127236717958467,0.4622005408154167,0.5573958086390016,0.09017111612141723,0.012048192771084338,1.2059609615679827,-0.015554645927138844,-0.01635991820040905,-0.013535684987694863,-0.2556484060662334,0.05480572597137012,-0.16085136078157725,0,1.1851026237873332,0.053438458169075664,0.05701754385964919,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,243
003-BIO-2026-01-01,BIO,2026-01-01,2026-01-02,True,True,False,0.05121075549749628,1,0.011903442791422025,0.1326312114037163,0.07201280826079744,0.007274435731748454,0.018072289156626505,0.5429552176945557,0.030058322117541447,0.09047732130135366,0.1324290998766955,-0.13716647876738064,0.17786748990738532,-0.12265953381734807,0,4.298006572685861,0.0503202195791399,0.06985379438384776,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,362
004-NEWT-2026-01-01,NEWT,2026-01-01,2026-01-02,True,False,False,0.09016393442622962,1,0.007440673416516035,0.4002529625432342,0.24938063537626118,0.00580277967242644,0.024096385542168676,0.6230575628764365,0.015608740894901052,-0.09963099630996297,0.08203991130820398,-0.14685314685314677,0.22693726937269387,-0.2661654135338346,1,29.539367771131626,0.025210084033613356,0.03825717321997857,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,195
005-REZ-2026-01-01,REZ,2026-01-01,2026-01-02,True,False,False,-0.005193911188675632,0,0.006507560262559814,0.01567140315723429,0.061735851727531904,0.0028435583740274,0.030120481927710843,3.9393952863137964,0.1431737588652482,0.12252448313384123,0.2110824137121392,-0.19140931180435805,0.26964091403699664,-0.11587247171751791,1,11.301747189580826,-0.06557971014492747,0.09944968553459121,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,364
006-FLOCK-2026-01-01,FLOCK,2026-01-01,2026-01-02,True,False,False,0.0488337129840545,1,0.005016125169615967,0.0752020397967166,0.12090081335349127,0.0018492210703292442,0.03614457831325301,1.607679973579253,-0.11670020120724345,-0.13921568627450975,0.08395061728395059,-0.31619937694704037,0.2735294117647058,-0.3240954580446497,1,57.686106416788064,0.03294117647058825,0.07833537331701357,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,114
007-MELANIA-2026-01-01,MELANIA,2026-01-01,2026-01-02,True,False,False,1.043797113752122,1,0.004977048693919249,0.06308146451484119,0.053387940885156956,0.006678914260671574,0.04216867469879518,0.846333250119714,-0.006751054852320637,0.034270650263620306,0.13610038610038622,-0.04386677497969127,0.08963093145869938,-0.0508064516129032,0,1.7031969090780497,0.01904761904761898,0.03781882145998239,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,345
008-CROSS-2026-01-01,CROSS,2026-01-01,2026-01-02,True,False,False,-0.1678404133180252,0,0.0036534670571304415,0.21326597930601368,0.31373760103287746,0.025160230617140494,0.04819277108433735,1.4711094664690885,-0.032960932620914374,0.14464065708418894,0.1826205023761034,0.14061221149124248,0.3141683778234088,-0.1289999999999999,1,6.173194971233504,-0.07891606080634483,0.1367096018735363,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,174
009-ZORA-2026-01-01,ZORA,2026-01-01,2026-01-02,True,False,False,0.13568827660723937,1,0.002637811984350886,0.1061214714118291,0.14193755821488935,0.01885179568277876,0.05421686746987952,1.3375008499841432,-0.06681795259707513,-0.06208819057273185,-0.10213488597768072,-0.2334299917149959,0.12265585402939672,-0.29892025004735734,0,2.020682736255452,0.031206464196154915,0.10081112398609493,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,160
010-LQTY-2026-01-01,LQTY,2026-01-01,2026-01-02,True,False,False,-0.000779328165374723,0,0.002454918036348274,0.015548602223065568,0.04264922016467433,0.005617130621059041,0.060240963855421686,2.742961685739594,0.11117494972708974,0.04512293974601467,0.0442764578833692,-0.2041152263374486,0.07214266414482573,-0.10587147480351367,0,1.6197083944949278,0.023009785770960134,0.05785123966942152,0.05841532342474365,0.8132530120481928,-0.1121843942185432,0.21951219512195122,364
