case_id,symbol,signal_date,entry_date,exit_time_utc,target_return_2x,profitable,log_f7c_share,rank_pct,log_cluster_amount,signal_open_close_return,return_1d,return_3d,return_7d,range_pct,close_location,volume_ratio_20d,distance_20d_high,volatility_7d,flow_change_cluster_share,positive_flow_days_7d,negative_flow_days_7d,flow_event_count_7d,listing_age_days
001-NIL-2026-01-01,NIL,2026-01-01,2026-01-02,2026-01-08T03:30:00+00:00,-0.174973073817986,0,-0.38133074251106536,0.006024096385542169,20.526699961102874,0.031083844580777065,0.0,0.0,0.0,0.04856512141280356,0.8948863636363649,1.0,-0.004868421052631522,0.0,0.6829519710116858,3,0,17.0,0
003-BIO-2026-01-01,BIO,2026-01-01,2026-01-02,2026-01-07T15:45:00+00:00,0.0511085384206551,1,-4.4309276105032485,0.018072289156626505,21.33474833974496,0.0503202195791399,0.0,0.0,0.0,0.06985379438384776,0.9401993355481728,1.0,-0.0039045553145335976,0.0,0.011903442791422025,6,0,51.0,0
005-SXT-2026-01-01,SXT,2026-01-01,2026-01-02,2026-01-16T00:00:00+00:00,0.3382374544051192,1,-4.3330660684173505,0.012048192771084338,21.83064931920418,0.053438458169075664,0.0,0.0,0.0,0.05701754385964919,0.9615384615384605,1.0,-0.0020746887966806016,0.0,0.013127236717958467,1,1,4.0,0
002-POPCAT-2026-01-03,POPCAT,2026-01-03,2026-01-04,2026-01-12T10:10:00+00:00,-0.02319800317897802,0,-6.149446336488866,0.05421686746987952,20.268186849397544,0.04579339723109688,0.044680851063829685,0.0,0.0,0.11751662971175159,0.754716981132075,0.4881291263062696,-0.025793650793650813,0.041208735139547925,0.0017907357480360048,3,2,14.0,2
007-NEWT-2026-01-05,NEWT,2026-01-05,2026-01-06,2026-01-19T00:20:00+00:00,-0.1709843870774148,0,-6.576127148117264,0.06626506024096386,20.361479545437053,0.01056676272814605,0.01056676272814605,0.03952569169960474,0.0,0.04822834645669283,0.7346938775510214,1.271118403563107,-0.012206572769952961,0.01203339586865163,0.0013895445630185716,2,4,15.0,4
004-RIVER-2026-01-07,RIVER,2026-01-07,2026-01-08,2026-01-08T14:00:00+00:00,-0.17421949706604645,0,-5.6309122405007725,0.04216867469879518,10.505554357007787,-0.0878584829804343,-0.0878584829804343,0.3909915801520476,0.0,0.35462540501223305,0.35297408167070643,0.4344111567386605,-0.28734765674079665,0.1915482604364209,0.0035853031762995502,1,0,1.0,6
011-BIO-2026-01-08,BIO,2026-01-08,2026-01-09,2026-01-12T13:10:00+00:00,-0.17302921847930186,0,-5.1060881030996255,0.006024096385542169,21.33474833974496,-0.026321467098166074,-0.026111350884764684,-0.14168885507797635,-0.01720383275261317,0.06190476190476191,0.37728937728937895,0.7173507998507389,-0.1949696753478415,0.0537774023120415,0.006027369000650437,4,0,7.0,7
006-EDU-2026-01-09,EDU,2026-01-09,2026-01-10,2026-01-19T14:00:00+00:00,-0.05210250639660269,0,-6.395857254084702,0.03614457831325301,20.225970778452368,-0.009960159362549792,-0.00930232558139521,-0.09800362976406529,-0.07044887780548614,0.04126547455295748,0.6166666666666676,0.6561732509447273,-0.14702517162471396,0.029633065599011337,0.0018288942347850685,2,2,6.0,8
008-ZKC-2026-01-14,ZKC,2026-01-14,2026-01-15,2026-01-19T00:05:00+00:00,-0.22950420229774537,0,-6.478831123197433,0.04819277108433735,20.745093899302315,0.04086956521739116,0.04086956521739116,0.05835543766578244,0.013547840812870415,0.06005221932114879,0.6956521739130429,0.7455235531039789,-0.09523809523809523,0.03240534948079322,0.0015308455845769362,2,0,4.0,13
009-POWER-2026-01-15,POWER,2026-01-15,2026-01-16,2026-01-20T23:40:00+00:00,0.056045052751639624,1,-3.296216323970275,0.006024096385542169,17.475369495188875,-0.10864001949792823,-0.10864001949792823,0.04343794579172622,-0.3543275808800812,0.3023035427904943,0.21967687484928877,2.3035755610546946,-0.6046216216216216,0.11563966663279528,0.03702298570441196,1,0,1.0,14
