case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
001-NIL-2026-01-01,NIL,2026-01-01,2026-01-02,2026-01-08T03:29:59+00:00,1767842999999,2026-01-08T03:30:00+00:00,1767843000000,0.06929,1.0,1.0,保护止损,0.8072727272727295,0.14223817776677394,14.282831177073568,0.018181818181823687,0.2650470549753252,True,True,weak,True,0.06809467142668257,0.0695796
002-POPCAT-2026-01-03,POPCAT,2026-01-03,2026-01-04,2026-01-08T13:34:59+00:00,1767879299999,2026-01-08T13:35:00+00:00,1767879300000,0.0976,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6485984580477967,0.15217391304347827,6.312191942300489,0.07142857142857355,0.3137994875642808,False,True,weak,True,0.17107942973523427,0.090344
003-BIO-2026-01-01,BIO,2026-01-01,2026-01-02,2026-01-07T15:19:59+00:00,1767799199999,2026-01-07T15:20:00+00:00,1767799200000,0.04731,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7158245734171454,0.1560827684623618,2.7468218250306373,0.0,0.32819955082208985,True,True,weak,True,0.2205530154583062,0.04611372
004-RIVER-2026-01-07,RIVER,2026-01-07,2026-01-08,2026-01-08T13:59:59+00:00,1767880799999,2026-01-08T14:00:00+00:00,1767880800000,15.596,1.0,1.0,保护止损,0.6861906369676931,0.1319641565091556,4.551969757711613,0.01898734177215268,0.4552013074206043,True,True,weak,True,0.05588857545839221,15.654719999999998
005-SXT-2026-01-01,SXT,2026-01-01,2026-01-02,2026-01-15T23:59:59+00:00,1768521599999,2026-01-16T00:00:00+00:00,1768521600000,0.02823,1.0,1.0,持有满14天,0.3999999999999913,0.11254322540081729,0.4623943845053945,0.24999999999997832,0.6441695715731475,False,False,neutral,False,0.3226611226611227,0.0241462
006-EDU-2026-01-09,EDU,2026-01-09,2026-01-10,2026-01-19T12:29:59+00:00,1768825799999,2026-01-19T12:30:00+00:00,1768825800000,0.1459,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7148144235509789,0.15026208503203253,0.9232419779576709,0.333333333333395,0.4527783646735686,True,True,weak,True,0.15234899328859064,0.13707999999999998
007-NEWT-2026-01-05,NEWT,2026-01-05,2026-01-06,2026-01-19T00:19:59+00:00,1768781999999,2026-01-19T00:20:00+00:00,1768782000000,0.0965,1.0,1.0,保护止损,0.8284979941939785,0.14450354609929073,17.91700933601364,0.2307692307692357,0.44571454717057357,True,True,weak,True,0.07326355851569932,0.096692
008-ZKC-2026-01-14,ZKC,2026-01-14,2026-01-15,2026-01-19T00:04:59+00:00,1768781099999,2026-01-19T00:05:00+00:00,1768781100000,0.1063,1.0,1.0,保护止损,0.7926963487378431,0.14948041566746595,31.230359989373007,0.00781250000000022,0.36564297689323555,True,True,weak,True,0.04598662207357851,0.11003199999999999
009-POWER-2026-01-15,POWER,2026-01-15,2026-01-16,2026-01-20T23:29:59+00:00,1768951799999,2026-01-20T23:30:00+00:00,1768951800000,0.15085,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7769096824485532,0.15538384008063155,8.746145639149754,0.05217391304348225,0.40284858274630186,True,True,weak,True,0.22071086807928908,0.14688520000000002
010-REZ-2026-01-19,REZ,2026-01-19,2026-01-20,2026-01-25T20:34:59+00:00,1769373299999,2026-01-25T20:35:00+00:00,1769373300000,0.004271,1.0,1.0,保护止损,0.6611111111111031,0.1248462484624846,0.9365069800432255,0.0277777777777577,0.343473104025675,True,True,weak,True,0.04610765601544098,0.00428996
011-BIO-2026-01-08,BIO,2026-01-08,2026-01-09,2026-01-12T13:09:59+00:00,1768223399999,2026-01-12T13:10:00+00:00,1768223400000,0.0414,1.0,1.0,保护止损,0.7275351305684491,0.12123142250530783,2.487074239684559,0.04545454545452825,0.33741178086970813,True,True,weak,True,0.04342046964997803,0.0415288
