signal_id,symbol,group,signal_date,f7c_share,rank,universe_count,status,status_reason,entry_date
63,BIRB,样本内,2026-06-20,0.0011351407588898934,2,33,entered,次日开盘买入,2026-06-21
64,GWEI,新增样本外,2026-06-23,0.005823726568440732,1,33,entered,次日开盘买入,2026-06-24
65,ZBT,第二批20币,2026-06-23,0.002669581262990738,2,33,entered,次日开盘买入,2026-06-24
66,KGEN,第二批20币,2026-06-30,0.036833559843487386,1,33,entered,次日开盘买入,2026-07-01
67,COLLECT,第二批20币,2026-07-01,0.003959830948909633,2,33,entered,次日开盘买入,2026-07-02
68,BIRB,样本内,2026-07-03,0.002541394988213497,3,33,entered,次日开盘买入,2026-07-04
69,AIA,第二批20币,2026-07-08,0.006258453157206378,1,33,entered,次日开盘买入,2026-07-09
70,ESPORTS,样本外,2026-07-09,0.0019157217270335076,2,33,entered,次日开盘买入,2026-07-10
71,GUA,第二批20币,2026-07-09,0.0013285843540219216,3,33,entered,次日开盘买入,2026-07-10
72,ZBT,第二批20币,2026-07-14,0.0042257521539341685,3,33,entered,次日开盘买入,2026-07-15
73,ZBT,第二批20币,2026-07-17,0.0010104160157023345,2,33,entered,次日开盘买入,2026-07-18
74,ZBT,第二批20币,2026-07-19,0.003384761380175076,1,33,ignored_already_held,同币仍在持仓,
75,BTR,第二批20币,2026-07-20,0.021281141066106516,1,33,entered,次日开盘买入,2026-07-21
76,BLUAI,第二批20币,2026-07-22,0.007619834540587599,2,33,entered,次日开盘买入,2026-07-23
77,DEXE,样本内,2026-07-22,0.004521857551951475,3,33,entered,次日开盘买入,2026-07-23
78,SAFE,第二批20币,2026-07-22,0.0010619423398888083,4,33,skipped_no_slot,组合已满3仓,
79,AIA,第二批20币,2026-07-23,0.006255980534135406,3,33,entered,次日开盘买入,2026-07-24
80,ZBT,第二批20币,2026-07-23,0.002006326369483173,4,33,entered,次日开盘买入,2026-07-24
81,IDOL,第二批20币,2026-07-24,0.0020680728003619245,4,33,entered,次日开盘买入,2026-07-25
82,SAFE,第二批20币,2026-07-27,0.0037301407537923196,3,33,entered,次日开盘买入,2026-07-28
83,COLLECT,第二批20币,2026-07-28,0.00984295122996772,2,33,entered,次日开盘买入,2026-07-29
84,BULLA,新增样本外,2026-07-29,0.004375303792047763,4,28,unexecuted_sample_end,样本末无次日开盘,
