minimum_f7c_share,top_fraction,maximum_hold_days,signal_episodes,closed_trades,win_rate,mean_trade_return,median_trade_return,trimmed_trade_return,portfolio_return,max_drawdown,average_exposure
0.0005,0.1,7,109,91,0.46153846153846156,-0.0035044438590979173,-0.0019748774567223577,-0.020349104254685967,-0.22890300188589985,-0.6755099074737285,0.5128071811041797
0.0005,0.1,14,109,90,0.45555555555555555,-0.003897617352970758,-0.011782600348931641,-0.021074524738632402,-0.24064971492331777,-0.6784536213228274,0.5411653773868171
0.0005,0.1,21,109,89,0.4606741573033708,-0.00362887352984719,-0.0068417006804839114,-0.020911566236410394,-0.23478290406306113,-0.6784536213228272,0.5467771515518007
0.0005,0.2,7,110,87,0.4482758620689655,0.0005991932482868102,-0.006841700680483933,-0.016723051514341575,-0.1295791186385773,-0.6690038576816152,0.4986540218808305
0.0005,0.2,14,110,87,0.45977011494252873,0.0009964885547339099,-0.0030745194700739584,-0.01623622487123035,-0.12551217129782444,-0.6719475715307139,0.5255423732938583
0.0005,0.2,21,110,86,0.46511627906976744,0.0015111552421188097,-0.0025246984633983476,-0.015850101704242673,-0.11576594102450588,-0.6719475715307142,0.5288286073142472
0.0005,0.3,7,110,87,0.4482758620689655,0.0005991932482868102,-0.006841700680483933,-0.016723051514341575,-0.1295791186385773,-0.6690038576816152,0.4986540218808305
0.0005,0.3,14,110,87,0.45977011494252873,0.0009964885547339099,-0.0030745194700739584,-0.01623622487123035,-0.12551217129782444,-0.6719475715307139,0.5255423732938583
0.0005,0.3,21,110,86,0.46511627906976744,0.0015111552421188097,-0.0025246984633983476,-0.015850101704242673,-0.11576594102450588,-0.6719475715307142,0.5288286073142472
0.001,0.1,7,84,73,0.5068493150684932,0.003358692019655166,0.009177191893179653,-0.00890746458959758,-0.10019914120232487,-0.742444871347167,0.4213185606097128
0.001,0.1,14,84,72,0.5,0.003950655854866357,0.005676547706028531,-0.00838409839087425,-0.09343038020661476,-0.7447222055498199,0.4441841942151488
0.001,0.1,21,84,72,0.5,0.00373608600834692,0.0056765477060285695,-0.008650460958967338,-0.09774017385017497,-0.7447222055498199,0.44551244307917687
0.001,0.2,7,84,71,0.5211267605633803,0.007603901992227933,0.013191508357087768,-0.004049962925840369,-0.022707346580870036,-0.7373888613093009,0.4160353145610098
0.001,0.2,14,84,70,0.5142857142857142,0.0071248323712832465,0.012938526178307992,-0.004856904682701015,-0.03928661466225092,-0.7396661955119539,0.43290264432239806
0.001,0.2,21,84,70,0.5142857142857142,0.006904131957720394,0.01293852617830803,-0.005132780199654587,-0.04385380547806039,-0.7396661955119538,0.4342308931864261
0.001,0.3,7,84,71,0.5211267605633803,0.007603901992227933,0.013191508357087768,-0.004049962925840369,-0.022707346580870036,-0.7373888613093009,0.4160353145610098
0.001,0.3,14,84,70,0.5142857142857142,0.0071248323712832465,0.012938526178307992,-0.004856904682701015,-0.03928661466225092,-0.7396661955119539,0.43290264432239806
0.001,0.3,21,84,70,0.5142857142857142,0.006904131957720394,0.01293852617830803,-0.005132780199654587,-0.04385380547806039,-0.7396661955119538,0.4342308931864261
0.002,0.1,7,69,60,0.55,0.01573033222131744,0.01735549260992291,0.0016573093987842925,0.1315684535223478,-0.6677825499884077,0.3431322095320643
0.002,0.1,14,69,59,0.5423728813559322,0.012377030648791596,0.013191508357087765,-0.0031161407746670804,0.06715612406616955,-0.6765057347104655,0.35127841786665726
0.002,0.1,21,69,59,0.5423728813559322,0.012377030648791596,0.013191508357087765,-0.0031161407746670804,0.06715612406616955,-0.6765057347104655,0.35127841786665726
0.002,0.2,7,70,59,0.5423728813559322,0.014710611850280523,0.01342361073024636,-0.00030631851164981635,0.1049828776888404,-0.6677825499884076,0.3387828696733538
0.002,0.2,14,70,58,0.5344827586206896,0.011281913347693242,0.012938526178308108,-0.004762181918149658,0.04209717517407263,-0.6765057347104653,0.346926795431438
0.002,0.2,21,70,58,0.5344827586206896,0.011281913347693242,0.012938526178308108,-0.004762181918149658,0.04209717517407263,-0.6765057347104653,0.346926795431438
0.002,0.3,7,70,59,0.5423728813559322,0.014710611850280523,0.01342361073024636,-0.00030631851164981635,0.1049828776888404,-0.6677825499884076,0.3387828696733538
0.002,0.3,14,70,58,0.5344827586206896,0.011281913347693242,0.012938526178308108,-0.004762181918149658,0.04209717517407263,-0.6765057347104653,0.346926795431438
0.002,0.3,21,70,58,0.5344827586206896,0.011281913347693242,0.012938526178308108,-0.004762181918149658,0.04209717517407263,-0.6765057347104653,0.346926795431438
