case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
01-KGEN-2026-01-01,v2,KGEN,第二批20币,2026-01-01,2026-01-02,0.20576,0.0008692857142857153,0.1892992,2026-01-16T00:00:00+00:00,0.26432,1,持有满14天,0.2846034214618973,0.2794752640907918,0.5589505281815836,-0.04753110419906692,0.3846228615863141,0.3846228615863141,0.7399545109931767,0.025148575322139502,0.050297150644279004,0.5086533775373047,False,1.0,1
02-BLESS-2026-01-09,v2,BLESS,第二批20币,2026-01-09,2026-01-10,0.01201,8.28571428571432e-05,0.0110492,2026-01-15T12:35:00+00:00,0.01138,2,V2弱趋势分层回撤,-0.05245628642797673,-0.05623889606299465,-0.1124777921259893,-0.06744379683597002,0.12406328059950034,0.12406328059950034,-0.42281879194630934,0.01342361073024636,0.02684722146049272,-0.13932501358648203,False,1.0,2
03-B2-2026-01-10,v2,B2,第二批20币,2026-01-10,2026-01-11,0.6898,0.004399999999999992,0.634616,2026-01-25T00:00:00+00:00,0.7208,2,持有满14天,0.04494056248187883,0.04076914307077345,0.0815382861415469,-0.008843142939982562,0.23137141200347933,0.23137141200347933,0.19423558897243115,0.08740738297252997,0.17481476594505993,-0.09327647980351303,False,1.0,2
04-SAFE-2026-01-14,v2,SAFE,第二批20币,2026-01-14,2026-01-15,0.1644,0.0008500000000000016,0.151248,2026-01-15T18:45:00+00:00,0.17072500000000002,2,V2弱趋势分层回撤,0.038473236009732625,0.03432763426917457,0.06865526853834913,-0.000608272506082641,0.22688564476885653,0.40815085158150866,0.09426229508196783,0.08143202645803294,0.16286405291606587,-0.09420878437771674,False,1.0,2
05-ZBT-2026-01-16,v2,ZBT,第二批20币,2026-01-16,2026-01-17,0.1077,0.0005428571428571445,0.099084,2026-01-19T00:05:00+00:00,0.0946,1,保护止损,-0.12163416898792945,-0.1251406194111313,-0.2502812388222626,-0.2089136490250697,0.0018570102135559985,0.0371402042711233,-3.2750000000000172,-0.13623820140591628,-0.27247640281183255,0.022195163989569944,False,1.0,1
06-AIA-2026-01-22,v2,AIA,第二批20币,2026-01-22,2026-01-23,0.21726,0.0044478571428571406,0.1998792,2026-01-23T11:25:00+00:00,0.21135,1,保护止损,-0.027202430267881827,-0.031085853699946098,-0.062171707399892195,-0.05698241738009757,0.2018779342723005,0.2018779342723005,-0.1347469220246239,-0.0019748774567223204,-0.003949754913444641,-0.058221952486447556,False,0.9786931818181818,1
07-B2-2026-02-04,v2,B2,第二批20币,2026-02-04,2026-02-05,0.7967,0.007999999999999991,0.732964,2026-02-05T23:55:00+00:00,0.7039,1,保护止损,-0.11648048198820138,-0.12000750601220045,-0.2400150120244009,-0.12137567465796417,0.04129534329107565,0.10455629471570238,-1.1140456182472982,-0.11538188841345799,-0.23076377682691598,-0.009251235197484914,False,1.0,1
08-SAFE-2026-02-05,v2,SAFE,第二批20币,2026-02-05,2026-02-06,0.0968,0.0019499999999999984,0.089056,2026-02-19T08:40:00+00:00,0.106375,2,V2弱趋势分层回撤,0.09891528925619841,0.09452840187393824,0.18905680374787648,-0.08057851239669422,0.30165289256198347,0.30165289256198347,0.3279109589041098,0.16783993995480112,0.33567987990960224,-0.14662307616172576,False,1.0,2
09-ZBT-2026-02-20,v2,ZBT,第二批20币,2026-02-20,2026-02-21,0.07299,0.0004542857142857136,0.0671508,2026-03-07T00:00:00+00:00,0.07786,1,持有满14天,0.06672146869434159,0.06246309955783724,0.12492619911567449,-0.07932593505959729,0.1381011097410605,0.1381011097410605,0.48313492063491964,-0.02746281652341299,-0.05492563304682598,0.17985183216250047,False,1.0,1
10-JCT-2026-02-20,v2,JCT,第二批20币,2026-02-20,2026-02-21,0.001757,1.6000000000000003e-05,0.00161644,2026-02-24T06:00:00+00:00,0.001627,2,保护止损,-0.07398975526465568,-0.07768640294822995,-0.1553728058964599,-0.12350597609561764,0.13375071143995432,0.2851451337507114,-0.2594810379241518,-0.12303679493602443,-0.24607358987204886,0.09070078397558895,False,1.0,2
