project_name,symbol,base_asset,listing_date_utc,listing_age_days,quote_volume_usd,change_24h_pct,intraday_range_pct,trade_count_24h,market_cap_usd,web3_liquidity_usd,chain_id,contract_address,web3_tags,spot_usdt_trading,risk_score
Hemi,HEMIUSDT,HEMI,2025-08-29,334.9,4764136.545819,-2.354,11.94100856327307,142337,3396420.541440608,246622.42589245614,56,0x5ffd0eadc186af9512542d0d5e5eafc65d5afc5b,TGE|DEX Paid,True,27.332397333491933
OLAXBT,AIOUSDT,AIO,2025-08-13,350.7,1318521.28352,6.743,8.462377317339143,33753,97788538.08311783,1918643.120623548,56,0x81a7da4074b8e0ed51bea40f9dcbdf4d9d4832b4,Alpha,False,26.98457465337463
Turtle,TURTLEUSDT,TURTLE,2025-10-22,280.5,1165780.44388,4.725,8.553492021972286,38942,6199115.099111967,13084.310242278973,56,0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd,Community Recognized|DEX Paid,True,26.887014134014464
MEET48 Token,IDOLUSDT,IDOL,2025-07-04,390.7,3065766.89735,-3.962,10.468319559228645,65657,72433350.6122703,927038.0795569908,56,0x3b4de3c7855c03bb9f50ea252cd2c9fa1125ab07,Alpha,False,26.61722194274763
AI Rig Complex,ARCUSDT,ARC,2025-01-17,558.6,1992037.74722,6.68,12.39520958083833,49416,53886879.77777114,3433279.66724241,CT_501,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,Pumpfun|Alpha,False,26.606887398222504
BSquared Network,B2USDT,B2,2025-05-06,449.6,2832606.6294,6.223,10.322436184505147,91205,98285102.23631819,804857.9880089925,56,0x783c3f003f172c6ac5ac700218a357d2d66ee2a2,Alpha,False,26.15708057483255
OpenLedger,OPENUSDT,OPEN,2025-09-08,324.6,15300350.5253,3.488,12.492382693479588,193357,11450609.318635387,526348.5320211679,56,0xa227cc36938f0c9e09ce0e64dfab226cad739447,Community Recognized,True,25.692193048675104
Falcon Finance,FFUSDT,FF,2025-09-29,303.6,9605805.73055,7.132,10.968253968253961,171328,33612373.678617485,3839757.6826876877,56,0xac23b90a79504865d52b49b327328411a23d4db2,Community Recognized,True,25.62195818145777
AZTEC,AZTECUSDT,AZTEC,2026-02-11,168.9,2563604.85652,4.229,12.028985507246382,36512,150440956.9838696,12761432.31718577,1,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,Token Volume Plunging|DEX Paid,False,25.539218210440644
Huma Finance,HUMAUSDT,HUMA,2025-05-26,429.6,2776243.055527,-5.171,10.88844704897447,142485,9224515.841689749,2351535.594160056,56,0x92516e0ddf1ddbf7fab1b79cac26689fdc5ba8e6,Community Recognized,True,25.404699490660324
ZEROBASE,ZBTUSDT,ZBT,2025-10-17,285.7,5017694.65113,-3.664,8.814102564102576,186807,13224946.406365067,477735.7368529677,56,0xfab99fcf605fd8f4593edb70a43ba56542777777,TGE,True,25.26636020238427
Alaya Governance Token,AGTUSDT,AGT,2025-05-20,435.7,1912841.223555,0.007,11.42606662770309,68893,70548807.26643318,1103315.7851385847,56,0x5dbde81fce337ff4bcaaee4ca3466c00aecae274,Alpha,False,25.174100519649684
USELESS COIN,USELESSUSDT,USELESS,2025-08-15,348.6,3948237.38897,-0.154,8.045977011494255,110036,52399115.61417366,265332.783257753,56,0xba38b3c706f7a515ff7c8db04daa0a134ec46d2b,Alpha|DEX Paid,False,25.12232634007919
zerebro,ZEREBROUSDT,ZEREBRO,2025-01-02,573.6,2167555.959135,-6.082,8.641124586549065,78331,36938927.96207936,2734553.434476123,CT_501,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,Pumpfun|Alpha|DEX Paid,False,24.980724491942382
ChainOpera AI,COAIUSDT,COAI,2025-09-25,307.8,3668370.3749,3.488,8.591811414392069,66145,340150022.2161394,2129013.721664075,56,0x0a8d6c86e1bce73fe4d0bd531e1a567306836ea5,Alpha|DEX Paid,False,24.67910565234342
DIA,DIAUSDT,DIA,2024-10-02,665.6,19815922.0147,1.723,25.13661202185793,290731,26408385.482674856,4673140.102913742,42161,0x6efa9b8883dfb78fd75cd89d8474c44c3cbda469,,True,24.643127890220867
