scenario,source_universe,executed_trades,executed_symbols,win_rate,pnl_on_initial_equity,mean_trade_pnl
combined202_f7c_dynamic,new169,73,49,0.3150684931506849,-0.11903611784719374,-0.0016306317513314211
combined202_f7c_dynamic,old33,12,11,0.5,0.2145156574929905,0.017876304791082542
combined202_ridge_dynamic,new169,78,52,0.2692307692307692,-0.1360148296718258,-0.0017437798675875103
combined202_ridge_dynamic,old33,13,9,0.38461538461538464,0.07180037968138901,0.005523106129337616
combined202_ridge_dynamic_without_best,new169,80,54,0.2875,-0.2517762572773531,-0.003147203215966914
combined202_ridge_dynamic_without_best,old33,13,9,0.38461538461538464,0.03850873542157187,0.00296221041704399
frozen169_ridge_dynamic,new169,78,56,0.2948717948717949,0.003436317563035984,4.405535337225621e-05
frozen169_ridge_dynamic,old33,12,9,0.4166666666666667,0.10221718943487319,0.008518099119572766
frozen169_ridge_dynamic_without_best,new169,80,57,0.3125,-0.134140855632027,-0.0016767606954003374
frozen169_ridge_dynamic_without_best,old33,12,9,0.4166666666666667,0.06368451392042628,0.005307042826702189
