scenario,candidate_signals,executed_trades,win_rate,average_margin_fraction,final_equity,total_return,max_drawdown_5m,max_gross_leverage,average_open_positions,average_invested_gross_leverage,skipped_same_symbol,skipped_position_limit,skipped_risk_budget,removed_best_case
combined202_f7c_dynamic,480,85,0.3411764705882353,0.14778198382999613,1.0954795396457977,0.0954795396457977,-0.3285586704026153,1.9606231472233373,2.94158453373768,0.9067622917918725,11,371,13,
frozen169_ridge_dynamic,480,90,0.3111111111111111,0.14981682599304028,1.1056535069979085,0.10565350699790854,-0.3643454684052234,2.0342076863734864,2.9703645823407214,0.9626824039838836,12,370,8,
combined202_ridge_dynamic,480,91,0.2857142857142857,0.15291012990119324,0.9357855500095635,-0.06421444999043646,-0.43859431886251476,2.0342076863734873,2.9086753642510237,0.9528994402247439,13,366,10,
frozen169_ridge_dynamic_without_best,479,92,0.32608695652173914,0.14816920412366363,0.9295436582884002,-0.07045634171159976,-0.42911069645541067,2.034201700843409,2.9691639191172268,0.9638941030579894,12,367,8,247-BAS-2026-04-19
combined202_ridge_dynamic_without_best,479,93,0.3010752688172043,0.15121370173131196,0.7867324781442188,-0.21326752185578124,-0.49579451985269585,2.0342017008434086,2.9074754785258548,0.9541103546541775,13,363,10,247-BAS-2026-04-19
