train_universe,month,feature,coefficient
combined202,2026-03,recent_5x_volume,-0.1627937411119985
combined202,2026-03,log_prior7_max_volume_ratio,0.015824598097816604
combined202,2026-04,log_signal_volume_ratio,0.014869707270277619
combined202,2026-04,log_flow_to_signal,-0.09665742731232281
combined202,2026-04,flow_normal_0_to_5pct,0.13095815620253015
combined202,2026-04,flow_normal_above_5pct,0.15274670906336757
combined202,2026-04,flow_normal_above_10pct,0.09825437308928615
combined202,2026-04,return_7d,-0.0346771850645662
combined202,2026-04,return_7d_above_20pct,0.06699413624879279
combined202,2026-04,return_7d_above_50pct,0.07535667807997813
combined202,2026-04,recent_7d_runup,0.04950398641270305
combined202,2026-04,recent_5x_volume,-0.1118107837381419
combined202,2026-04,log_prior7_max_volume_ratio,-0.19233247950349638
combined202,2026-05,log_signal_volume_ratio,-0.1042639096341912
combined202,2026-05,log_flow_to_signal,-0.11272178388316946
combined202,2026-05,flow_normal_0_to_5pct,0.16108400020019187
combined202,2026-05,flow_normal_above_5pct,-0.010845312985919986
combined202,2026-05,flow_normal_above_10pct,0.11784814985698444
combined202,2026-05,return_7d,-0.03390030002864447
combined202,2026-05,return_7d_above_20pct,0.13009665163011808
combined202,2026-05,return_7d_above_50pct,-0.13806435790109603
combined202,2026-05,recent_7d_runup,0.03419847714791866
combined202,2026-05,recent_5x_volume,-0.04097829549734947
combined202,2026-05,log_prior7_max_volume_ratio,-0.1934449847033573
combined202,2026-06,log_signal_volume_ratio,-0.1326251490898424
combined202,2026-06,log_flow_to_signal,-0.17457640984665188
combined202,2026-06,flow_normal_0_to_5pct,0.24841082104761159
combined202,2026-06,flow_normal_above_5pct,-0.035597183267928365
combined202,2026-06,flow_normal_above_10pct,0.103098662485626
combined202,2026-06,return_7d,-0.07917689921630157
combined202,2026-06,return_7d_above_20pct,0.18056920212163666
combined202,2026-06,return_7d_above_50pct,-0.11609763115774689
combined202,2026-06,recent_7d_runup,-0.0427221424067448
combined202,2026-06,recent_5x_volume,-0.052915660541941474
combined202,2026-06,log_prior7_max_volume_ratio,-0.1176877531786274
combined202,2026-07,log_signal_volume_ratio,-0.14145229370759926
combined202,2026-07,log_flow_to_signal,-0.13693938715146195
combined202,2026-07,flow_normal_0_to_5pct,0.22905953496933273
combined202,2026-07,flow_normal_above_5pct,-0.034760466259248286
combined202,2026-07,flow_normal_above_10pct,0.0013017512864824145
combined202,2026-07,return_7d,-0.0027060261443385097
combined202,2026-07,return_7d_above_20pct,0.13309784018375886
combined202,2026-07,return_7d_above_50pct,-0.12724510648631798
combined202,2026-07,recent_7d_runup,-0.040181388304725736
combined202,2026-07,recent_5x_volume,0.00454692780918816
combined202,2026-07,log_prior7_max_volume_ratio,-0.06756889342565973
combined202,2026-08,log_signal_volume_ratio,-0.1344219376534112
combined202,2026-08,log_flow_to_signal,-0.157667491710985
combined202,2026-08,flow_normal_0_to_5pct,0.18405893411332808
combined202,2026-08,flow_normal_above_5pct,0.04703460530247496
combined202,2026-08,flow_normal_above_10pct,-0.01912994406725042
combined202,2026-08,return_7d,-0.0191591031640526
combined202,2026-08,return_7d_above_20pct,-0.022490491485976476
combined202,2026-08,return_7d_above_50pct,-0.10229614442643983
combined202,2026-08,recent_7d_runup,0.024152177178849973
combined202,2026-08,recent_5x_volume,-0.07678859941264309
combined202,2026-08,log_prior7_max_volume_ratio,-0.06844117411353047
