symbol,interval,activation_mfe,trailing_drawdown,triggered,decision_time_utc,execution_time_utc,execution_price,gross_return,net_return,running_mfe_at_signal,close_drawdown_at_signal,volume_vs_prior20_median,upper_wick_share
VELVET,15m,0.5,0.05,True,2026-06-07T16:45+00:00,2026-06-07T17:00+00:00,0.25474,0.37749418698967174,0.3719952081992939,0.5011085275509652,-0.0819524495677233,5.0037026599018,0.015981735159817028
VELVET,15m,0.5,0.08,True,2026-06-07T16:45+00:00,2026-06-07T17:00+00:00,0.25474,0.37749418698967174,0.3719952081992939,0.5011085275509652,-0.0819524495677233,5.0037026599018,0.015981735159817028
VELVET,15m,0.5,0.1,True,2026-06-07T17:00+00:00,2026-06-07T17:15+00:00,0.24601,0.3302871356729573,0.32497660818524077,0.5011085275509652,-0.11404899135446689,2.1037275996179514,0.33419023136246634
VELVET,15m,0.5,0.12,True,2026-06-07T17:15+00:00,2026-06-07T17:30+00:00,0.24362,0.31736332666414313,0.3121043912283581,0.5011085275509652,-0.12237031700288181,1.5944703321615012,0.3198614318706691
VELVET,15m,0.5,0.15,True,2026-06-08T18:00+00:00,2026-06-08T18:15+00:00,0.33656,0.8199318661115016,0.8126666690411961,1.1518412372248958,-0.15426948786249184,1.6162391655418908,0.035121951219513024
VELVET,15m,0.5,0.2,True,2026-06-08T20:15+00:00,2026-06-08T20:30+00:00,0.30919,0.6719299194289732,0.6652555484931291,1.1518412372248958,-0.2233251243906117,0.6029221857744479,0.12932330827067787
VELVET,15m,0.5,0.25,True,2026-06-09T06:30+00:00,2026-06-09T06:45+00:00,0.29316,0.58524847239496,0.5789201351798106,1.1518412372248958,-0.26463788510830777,4.778165051935596,0.0020605810838654247
VELVET,15m,0.5,0.3,True,2026-06-10T12:15+00:00,2026-06-10T12:30+00:00,0.32325,0.7479586870707833,0.740980808080481,1.568215000270372,-0.3194929885880322,2.3725871267896217,0.005542725173210576
VELVET,15m,0.8,0.02,True,2026-06-08T11:30+00:00,2026-06-08T11:45+00:00,0.3369,0.8217703996106633,0.8144978630852713,0.8926080138430754,-0.03717142857142852,3.407266105211234,0.53639417693169
VELVET,15m,0.8,0.03,True,2026-06-08T11:30+00:00,2026-06-08T11:45+00:00,0.3369,0.8217703996106633,0.8144978630852713,0.8926080138430754,-0.03717142857142852,3.407266105211234,0.53639417693169
VELVET,15m,0.8,0.05,True,2026-06-08T11:45+00:00,2026-06-08T12:00+00:00,0.32938,0.781106364570378,0.7739961595221929,0.8926080138430754,-0.05937142857142852,3.2311249130678066,0.4493775933609959
VELVET,15m,0.8,0.08,True,2026-06-08T17:15+00:00,2026-06-08T17:30+00:00,0.35582,0.9240793813875521,0.9163984257732305,1.1518412372248958,-0.10622204352414943,1.4557003080397626,0.08778424114225246
VELVET,15m,0.8,0.1,True,2026-06-08T17:15+00:00,2026-06-08T17:30+00:00,0.35582,0.9240793813875521,0.9163984257732305,1.1518412372248958,-0.10622204352414943,1.4557003080397626,0.08778424114225246
VELVET,15m,0.8,0.12,True,2026-06-08T17:45+00:00,2026-06-08T18:00+00:00,0.34067,0.8421564916454871,0.8348025735151661,1.1518412372248958,-0.14399155651605777,1.6572804795472071,0.03140394088669902
VELVET,15m,0.8,0.15,True,2026-06-08T18:00+00:00,2026-06-08T18:15+00:00,0.33656,0.8199318661115016,0.8126666690411961,1.1518412372248958,-0.15426948786249184,1.6162391655418908,0.035121951219513024
VELVET,15m,0.8,0.2,True,2026-06-08T20:15+00:00,2026-06-08T20:30+00:00,0.30919,0.6719299194289732,0.6652555484931291,1.1518412372248958,-0.2233251243906117,0.6029221857744479,0.12932330827067787
VELVET,15m,0.8,0.25,True,2026-06-09T06:30+00:00,2026-06-09T06:45+00:00,0.29316,0.58524847239496,0.5789201351798106,1.1518412372248958,-0.26463788510830777,4.778165051935596,0.0020605810838654247
