case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
01-CYS-2026-01-01,v1,CYS,新增样本外,2026-01-01,2026-01-02,0.3517,0.006207142857142863,0.323564,2026-01-03T02:10:00+00:00,0.3221,1,保护止损,-0.08416263861245388,-0.08781867598326243,-0.17563735196652486,-0.10406596531134493,0.07989764003412003,0.5882854705715097,-0.14306428226196247,0.05151482647443241,0.10302965294886482,-0.27866700491538965,False,1.0,1
02-DEXE-2026-01-12,v1,DEXE,样本内,2026-01-12,2026-01-13,3.438,0.013214285714285718,3.16296,2026-01-16T15:30:00+00:00,3.158,1,保护止损,-0.08144269924374647,-0.08510959465594703,-0.17021918931189406,-0.09162303664921467,0.023851076207097144,0.023851076207097144,-3.4146341463414687,-0.1045198724134048,-0.2090397448268096,0.03882055551491553,False,1.0,1
03-CLO-2026-01-26,v1,CLO,新增样本外,2026-01-26,2026-01-27,0.3945,0.0036,0.36294000000000004,2026-01-27T08:05:00+00:00,0.3599,1,保护止损,-0.08770595690747784,-0.09134784929507267,-0.18269569859014534,-0.09556400506970852,0.009885931558935246,0.009885931558935246,-8.871794871794977,-0.15825332857731947,-0.31650665715463894,0.1338109585644936,False,1.0,1
04-BIRB-2026-02-01,v1,BIRB,样本内,2026-02-01,2026-02-02,0.2183,0.004066428571428572,0.200836,2026-02-03T09:50:00+00:00,0.34495,2,5m收盘距持仓最高价回撤15%,0.5801649106733853,0.573856867117803,1.147713734235606,-0.029134218964727454,0.8976179569399909,0.8976179569399909,0.6463383516203113,0.23636391897835118,0.47272783795670237,0.6749858962789037,False,0.8536931818181818,2
05-SIREN-2026-02-10,v1,SIREN,样本内,2026-02-10,2026-02-11,0.10077,0.0014849999999999991,0.0927084,2026-02-11T21:50:00+00:00,0.09927,1,5m收盘距持仓最高价回撤15%,-0.014885382554331694,-0.01881797583754785,-0.0376359516750957,-0.060732360821673104,0.16264761337699718,2.725116602163342,-0.005462291977713867,0.2271941182634237,0.4543882365268474,-0.4920241882019431,False,1.0,1
06-CYS-2026-02-13,v1,CYS,新增样本外,2026-02-13,2026-02-14,0.4439,0.0039000000000000068,0.40838800000000003,2026-02-19T05:40:00+00:00,0.4808,1,5m收盘距持仓最高价回撤15%,0.0831268303671997,0.07880297076493559,0.15760594152987117,-0.014192385672448848,0.2813696778553727,0.2813696778553727,0.29543634907926314,-0.07399753320572197,-0.14799506641144394,0.3056010079413151,False,1.0,1
07-GWEI-2026-02-13,v1,GWEI,新增样本外,2026-02-13,2026-02-14,0.026382,0.00017271428571428597,0.02427144,2026-02-19T13:45:00+00:00,0.026184,1,5m收盘距持仓最高价回撤15%,-0.007505117125312766,-0.011467172545970183,-0.022934345091940367,-0.04901068910620876,0.1676142824653173,0.7702600257751497,-0.009743614979577845,0.10583238042147838,0.21166476084295677,-0.23459910593489713,False,1.0,1
08-VELVET-2026-02-19,v1,VELVET,样本内,2026-02-19,2026-02-20,0.07825,0.000954285714285714,0.07199,2026-02-24T15:20:00+00:00,0.0856,1,5m收盘距持仓最高价回撤15%,0.09392971246006376,0.08956272757998374,0.17912545515996747,-0.007923322683705991,0.2907348242811503,0.3061980830670925,0.3067612687813019,0.013191508357087779,0.026383016714175558,0.1527424384457919,False,1.0,1
09-GWEI-2026-03-10,v1,GWEI,新增样本外,2026-03-10,2026-03-11,0.051241,0.0006549285714285721,0.04714172,2026-03-13T15:25:00+00:00,0.050465,1,5m收盘距持仓最高价回撤15%,-0.015144122870357712,-0.01907568325810083,-0.03815136651620166,-0.03142015183154112,0.16295544583439026,0.16295544583439026,-0.092934131736527,0.012685543999528589,0.025371087999057178,-0.06352245451525884,False,1.0,1
10-VELVET-2026-03-17,v1,VELVET,样本内,2026-03-17,2026-03-18,0.07998,0.0004728571428571449,0.0735816,2026-03-22T08:10:00+00:00,0.07756,1,5m收盘距持仓最高价回撤15%,-0.030257564391097724,-0.03412879167895755,-0.0682575833579151,-0.041010252563140726,0.14741185296324089,0.14741185296324089,-0.2052586938083117,0.028635402363565023,0.057270804727130045,-0.12552838808504513,False,1.0,1
11-CYS-2026-03-21,v1,CYS,新增样本外,2026-03-21,2026-03-22,0.5711,0.004471428571428571,0.525412,2026-03-22T21:35:00+00:00,0.6526,1,5m收盘距持仓最高价回撤15%,0.14270705655752036,0.13814535174092346,0.2762907034818469,-0.04430047277184401,0.34739975485904373,0.34739975485904373,0.4107862903225803,-0.048464443901550774,-0.09692888780310155,0.37321959128494847,False,1.0,1
12-SOON-2026-04-10,v1,SOON,样本外,2026-04-10,2026-04-11,0.1184,0.002599999999999999,0.108928,2026-04-11T05:30:00+00:00,0.1362,1,5m收盘距持仓最高价回撤15%,0.15033783783783772,0.14574567082052092,0.29149134164104185,-0.014358108108108114,0.3614864864864864,2.251689189189189,0.06676669167291818,0.0313393483303664,0.0626786966607328,0.22881264498030907,False,1.0,1
13-CLO-2026-04-11,v1,CLO,新增样本外,2026-04-11,2026-04-12,0.08973,0.001947857142857145,0.0825516,2026-04-12T00:20:00+00:00,0.0817,1,保护止损,-0.08949069430513779,-0.09312546199254235,-0.1862509239850847,-0.09550874846762514,0.017051153460380997,0.9304580407890337,-0.09617918313570505,-0.13852468917063912,-0.27704937834127824,0.09079845435619355,False,1.0,1
14-BULLA-2026-04-11,v1,BULLA,新增样本外,2026-04-11,2026-04-12,0.006812,0.00013914285714285707,0.006267040000000001,2026-04-12T17:20:00+00:00,0.008875000000000001,3,5m收盘距持仓最高价回撤15%,0.30284791544333545,0.2976469257609267,0.5952938515218534,-0.018203170874926622,0.5223135642982972,0.9081033470346445,0.33349498868412575,0.3786493366760311,0.7572986733520622,-0.1620048218302088,False,1.0,3
15-RAVE-2026-04-21,v1,RAVE,样本内,2026-04-21,2026-04-22,1.6186,0.12833357142857144,1.2977660714285715,2026-04-22T04:00:00+00:00,1.38806,1,5m收盘距持仓最高价回撤15%,-0.1424317311256641,-0.14585515734871546,-0.2917103146974309,-0.16413567280365748,0.009088100827876033,0.009088100827876033,-15.672331747110645,-0.3380786678218997,-0.6761573356437994,0.3844470209463685,False,1.0,1
16-SOON-2026-04-21,v1,SOON,样本外,2026-04-21,2026-04-22,0.1652,0.0010142857142857176,0.151984,2026-04-25T11:45:00+00:00,0.2061,1,5m收盘距持仓最高价回撤15%,0.2475786924939467,0.24259833843209444,0.4851966768641889,-0.029055690072639417,0.4951573849878934,0.4951573849878934,0.5,0.06775432186474495,0.1355086437294899,0.349688033134699,False,1.0,1
17-EVAA-2026-04-25,v1,EVAA,新增样本外,2026-04-25,2026-04-26,0.5486,0.004342857142857133,0.5047119999999999,2026-05-03T20:05:00+00:00,0.5382,1,5m收盘距持仓最高价回撤15%,-0.018957345971563955,-0.022873683911797227,-0.045747367823594454,-0.04028436018957349,0.17462632154575286,0.9132336857455343,-0.0207584830339321,0.076436627292262,0.152873254584524,-0.19862062240811845,False,1.0,1
18-RAVE-2026-05-13,v1,RAVE,样本内,2026-05-13,2026-05-14,0.6593,0.004835714285714292,0.606556,2026-05-15T14:05:00+00:00,0.6057,1,保护止损,-0.0812983467313817,-0.08496581840111661,-0.16993163680223322,-0.09965114515395113,0.02988017594418335,0.02988017594418335,-2.7208121827411027,-0.1654864092533876,-0.3309728185067752,0.16104118170454196,False,1.0,1
19-GWEI-2026-05-22,v1,GWEI,新增样本外,2026-05-22,2026-05-23,0.11674,0.0010814285714285735,0.10740079999999999,2026-05-26T17:55:00+00:00,0.10737,1,保护止损,-0.08026383416138427,-0.08393543562181793,-0.16787087124363587,-0.0911427102963851,0.04985437724858666,0.04985437724858666,-1.60996563573883,-0.05322078132581847,-0.10644156265163694,-0.061429308591998924,False,1.0,1
20-VELVET-2026-06-06,v1,VELVET,样本内,2026-06-06,2026-06-07,0.18493,0.002850714285714286,0.1701356,2026-06-07T17:40:00+00:00,0.23496,1,5m收盘距持仓最高价回撤15%,0.2705347969501972,0.26546280175279136,0.5309256035055827,-0.004271886659817259,0.5011085275509652,9.393121721732546,0.02880137242598167,1.3573391798569088,2.7146783597138175,-2.183752756208235,False,1.0,1
21-SIREN-2026-06-15,v1,SIREN,样本内,2026-06-15,2026-06-16,0.0528,0.003497142857142857,0.04405714285714286,2026-06-16T09:20:00+00:00,0.0475,1,5m收盘距持仓最高价回撤15%,-0.10037878787878785,-0.10397009012278469,-0.20794018024556937,-0.13636363636363635,0.11742424242424243,0.11742424242424243,-0.854838709677419,-0.130379392729692,-0.260758785459384,0.05281860521381465,False,1.0,1
22-BIRB-2026-06-20,v1,BIRB,样本内,2026-06-20,2026-06-21,0.07169,0.00047214285714285647,0.06595480000000001,2026-06-23T06:25:00+00:00,0.06521,1,保护止损,-0.09038917561724091,-0.09402035655290064,-0.18804071310580128,-0.09792160691867757,0.017017715162505276,0.5235039754498534,-0.1726618705035972,-0.1437582360735358,-0.2875164721470716,0.09947575904127032,False,1.0,1
23-GWEI-2026-06-23,v1,GWEI,新增样本外,2026-06-23,2026-06-24,0.1192,0.0008857142857142902,0.109664,2026-06-29T14:30:00+00:00,0.2087,1,5m收盘距持仓最高价回撤15%,0.7508389261744965,0.7438495492237001,1.4876990984474001,-0.030201342281879207,1.0973154362416109,1.0973154362416109,0.6842507645259938,0.06285415745689826,0.12570831491379653,1.3619907835336036,False,1.0,1
24-BIRB-2026-07-03,v1,BIRB,样本内,2026-07-03,2026-07-04,0.07794,0.0014178571428571424,0.0717048,2026-07-04T04:55:00+00:00,0.0714,1,保护止损,-0.08391070053887595,-0.08756774365049713,-0.17513548730099426,-0.09417500641519116,0.011419040287400595,0.16217603284577886,-0.5174050632911383,-0.18558392581017077,-0.37116785162034155,0.19603236431934729,False,1.0,1
25-ESPORTS-2026-07-09,v1,ESPORTS,样本外,2026-07-09,2026-07-10,0.02142,0.0004892857142857139,0.019706400000000002,2026-07-10T00:45:00+00:00,0.01926,1,保护止损,-0.10084033613445387,-0.1044297958704441,-0.2088595917408882,-0.10737628384687203,0.028478057889822495,1.448646125116713,-0.06961005478569134,-0.20393759632928357,-0.40787519265856714,0.19901560091767895,False,1.0,1
26-DEXE-2026-07-22,v1,DEXE,样本内,2026-07-22,2026-07-23,4.156,0.12350000000000004,3.82352,2026-07-23T03:10:00+00:00,3.719,1,保护止损,-0.10514918190567846,-0.10872144066054612,-0.21744288132109224,-0.19032723772858506,0.009143407122232938,0.5519730510105874,-0.19049694856146446,-0.6424340923542712,-1.2848681847085424,1.0674253033874501,False,0.9375,1
