strategy,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,notional,entry_fee,exit_pnl_after_exit_fee,exit_events,last_exit_reason,exit_time_utc,total_net_pnl,contribution_to_initial_equity,return_on_allocated_margin
old_daily,01-CYS-2026-01-01,CYS,2026-01-01,2026-01-02T00:00:00+00:00,1.0,0.3,0.6,0.0012,0.032170713676428805,1,F7c由正转为非正,2026-01-04T00:00:00+00:00,0.030970713676428806,0.030970713676428806,0.10323571225476269
old_daily,02-DEXE-2026-01-12,DEXE,2026-01-12,2026-01-13T00:00:00+00:00,1.0309707136764288,0.30929121410292865,0.6185824282058573,0.0012371648564117146,-0.0635462999297851,1,收盘止损-10%,2026-01-20T00:00:00+00:00,-0.06478346478619681,-0.06478346478619681,-0.20945782431646315
old_daily,03-CLO-2026-01-26,CLO,2026-01-26,2026-01-27T00:00:00+00:00,0.9661872488902319,0.28985617466706953,0.5797123493341391,0.0011594246986682782,-0.09076546701863607,1,收盘止损-10%,2026-01-28T00:00:00+00:00,-0.09192489171730435,-0.09192489171730435,-0.3171396704689483
old_daily,04-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02T00:00:00+00:00,0.8742623571729276,0.26227870715187823,0.5245574143037565,0.001049114828607513,0.12528353389494198,1,持仓成交量峰值后缩小且收盘未创新高,2026-02-05T00:00:00+00:00,0.12423441906633446,0.12423441906633446,0.4736732936326158
old_daily,05-SIREN-2026-02-10,SIREN,2026-02-10,2026-02-11T00:00:00+00:00,0.998496776239262,0.2995490328717786,0.5990980657435572,0.0011981961314871143,0.13758197604501707,1,持仓成交量峰值后缩小且收盘未创新高,2026-02-14T00:00:00+00:00,0.13638377991352996,0.13638377991352996,0.45529701299990105
old_daily,06-CYS-2026-02-13,CYS,2026-02-13,2026-02-14T00:00:00+00:00,1.134880556152792,0.3404641668458376,0.6809283336916752,0.0013618566673833502,-0.04912593434964938,1,盈利20%后最高收盘回撤10%,2026-02-20T00:00:00+00:00,-0.050487791017032733,-0.050487791017032733,-0.14829105654426664
old_daily,07-GWEI-2026-02-13,GWEI,2026-02-13,2026-02-14T00:00:00+00:00,1.134880556152792,0.3404641668458376,0.6809283336916752,0.0013618566673833502,0.07357025165130616,1,F7c由正转为非正,2026-02-21T00:00:00+00:00,0.07220839498392281,0.07220839498392281,0.21208809036464277
old_daily,08-VELVET-2026-02-19,VELVET,2026-02-19,2026-02-20T00:00:00+00:00,1.1060279195107259,0.33180837585321776,0.6636167517064355,0.001327233503412871,0.0100988476413038,1,持仓成交量峰值后缩小且收盘未创新高,2026-02-22T00:00:00+00:00,0.008771614137890928,0.008771614137890928,0.02643578274760379
old_daily,09-GWEI-2026-03-10,GWEI,2026-03-10,2026-03-11T00:00:00+00:00,1.1653727742575728,0.34961183227727183,0.6992236645545437,0.0013984473291090873,0.01028621995645173,1,持仓成交量峰值后缩小且收盘未创新高,2026-03-13T00:00:00+00:00,0.008887772627342642,0.008887772627342642,0.02542183017505507
old_daily,10-VELVET-2026-03-17,VELVET,2026-03-17,2026-03-18T00:00:00+00:00,1.1742605468849154,0.35227816406547463,0.7045563281309493,0.0014091126562618985,0.021624717107975255,1,持仓成交量峰值后缩小且收盘未创新高,2026-03-22T00:00:00+00:00,0.020215604451713356,0.020215604451713356,0.05738534633658438
old_daily,11-CYS-2026-03-21,CYS,2026-03-21,2026-03-22T00:00:00+00:00,1.1944761513366289,0.35834284540098865,0.7166856908019773,0.0014333713816039547,-0.03336986962222655,1,盈利20%后最高收盘回撤10%,2026-03-25T00:00:00+00:00,-0.034803241003830504,-0.034803241003830504,-0.09712274557870797
old_daily,12-SOON-2026-04-10,SOON,2026-04-10,2026-04-11T00:00:00+00:00,1.1596729103327983,0.3479018730998395,0.695803746199679,0.001391607492399358,0.02324125553606837,1,持仓成交量峰值后缩小且收盘未创新高,2026-04-13T00:00:00+00:00,0.021849648043669012,0.021849648043669012,0.06280405405405416
old_daily,13-CLO-2026-04-11,CLO,2026-04-11,2026-04-12T00:00:00+00:00,1.286393816921083,0.3859181450763249,0.7718362901526498,0.0015436725803052995,-0.10558854636807773,1,收盘止损-10%,2026-04-14T00:00:00+00:00,-0.10713221894838303,-0.10713221894838303,-0.2776034770979607
old_daily,14-BULLA-2026-04-11,BULLA,2026-04-11,2026-04-12T00:00:00+00:00,1.286393816921083,0.3859181450763249,0.7718362901526498,0.0015436725803052995,0.2943834824676725,1,盈利20%后最高收盘回撤10%,2026-04-14T00:00:00+00:00,0.2928398098873672,0.2928398098873672,0.7588132706987666
old_daily,15-RAVE-2026-04-21,RAVE,2026-04-21,2026-04-22T00:00:00+00:00,1.3672301493154515,0.41016904479463545,0.8203380895892709,0.0016406761791785418,-0.2762528099297083,1,收盘止损-10%,2026-04-23T00:00:00+00:00,-0.27789348610888687,-0.27789348610888687,-0.6775096503150874
old_daily,16-SOON-2026-04-21,SOON,2026-04-21,2026-04-22T00:00:00+00:00,1.3672301493154515,0.41016904479463545,0.8203380895892709,0.0016406761791785418,0.05733329004104,1,持仓成交量峰值后缩小且收盘未创新高,2026-04-25T00:00:00+00:00,0.05569261386186146,0.05569261386186146,0.13577966101694922
old_daily,17-EVAA-2026-04-25,EVAA,2026-04-25,2026-04-26T00:00:00+00:00,1.145029277068426,0.3435087831205278,0.6870175662410556,0.0013740351324821112,0.05399236739779462,1,F7c由正转为非正,2026-05-03T00:00:00+00:00,0.05261833226531251,0.05261833226531251,0.1531790010936931
old_daily,18-RAVE-2026-05-13,RAVE,2026-05-13,2026-05-14T00:00:00+00:00,1.1976476093337387,0.3592942828001216,0.7185885656002432,0.0014371771312004864,-0.1177172976034296,1,收盘止损-10%,2026-05-18T00:00:00+00:00,-0.11915447473463009,-0.11915447473463009,-0.33163476414378884
old_daily,19-GWEI-2026-05-22,GWEI,2026-05-22,2026-05-23T00:00:00+00:00,1.0784931345991087,0.3235479403797326,0.6470958807594652,0.0012941917615189305,-0.033213634501951896,1,F7c由正转为非正,2026-05-30T00:00:00+00:00,-0.03450782626347083,-0.03450782626347083,-0.10665444577694005
old_daily,20-VELVET-2026-06-06,VELVET,2026-06-06,2026-06-07T00:00:00+00:00,1.0439853083356379,0.31319559250069134,0.6263911850013827,0.0012527823700027654,0.8531785302840156,1,盈利20%后最高收盘回撤10%,2026-06-13T00:00:00+00:00,0.8519257479140128,0.8519257479140128,2.7201077164332452
old_daily,21-SIREN-2026-06-15,SIREN,2026-06-15,2026-06-16T00:00:00+00:00,1.8959110562496506,0.5687733168748952,1.1375466337497904,0.002275093267499581,-0.14633417132112353,1,收盘止损-10%,2026-06-17T00:00:00+00:00,-0.1486092645886231,-0.1486092645886231,-0.2612803030303029
old_daily,22-BIRB-2026-06-20,BIRB,2026-06-20,2026-06-21T00:00:00+00:00,1.7473017916610276,0.5241905374983082,1.0483810749966165,0.002096762149993233,-0.14891807875254634,1,收盘止损-10%,2026-06-26T00:00:00+00:00,-0.15101484090253958,-0.15101484090253958,-0.28809150509136566
old_daily,23-GWEI-2026-06-23,GWEI,2026-06-23,2026-06-24T00:00:00+00:00,1.6576083962395916,0.49728251887187747,0.9945650377437549,0.00198913007548751,0.06462670265392653,1,持仓成交量峰值后缩小且收盘未创新高,2026-06-27T00:00:00+00:00,0.06263757257843902,0.06263757257843902,0.12595973154362441
old_daily,24-BIRB-2026-07-03,BIRB,2026-07-03,2026-07-04T00:00:00+00:00,1.658924523336927,0.49767735700107807,0.9953547140021561,0.0019907094280043123,-0.183100569640972,1,收盘止损-10%,2026-07-08T00:00:00+00:00,-0.1850912790689763,-0.1850912790689763,-0.37191018732358233
old_daily,25-ESPORTS-2026-07-09,ESPORTS,2026-07-09,2026-07-10T00:00:00+00:00,1.4738332442679507,0.4421499732803852,0.8842999465607704,0.0017685998931215407,-0.17893408965366736,1,收盘止损-10%,2026-07-11T00:00:00+00:00,-0.1807026895467889,-0.1807026895467889,-0.40869094304388437
old_daily,26-DEXE-2026-07-22,DEXE,2026-07-22,2026-07-23T00:00:00+00:00,1.2931305547211618,0.3879391664163485,0.775878332832697,0.0015517566656653942,-0.4978958372501149,1,收盘止损-10%,2026-07-24T00:00:00+00:00,-0.49944759391578025,-0.49944759391578025,-1.2874379210779594
v1_multitimeframe,01-CYS-2026-01-01,CYS,2026-01-01,2026-01-02T00:00:00+00:00,1.0,0.3,0.6,0.0012,-0.05159658800113738,1,保护止损,2026-01-03T02:10:00+00:00,-0.05279658800113738,-0.05279658800113738,-0.17598862667045795
v1_multitimeframe,02-DEXE-2026-01-12,DEXE,2026-01-12,2026-01-13T00:00:00+00:00,0.9472034119988626,0.2841610235996588,0.5683220471993176,0.0011366440943986352,-0.047329754294915656,1,保护止损,2026-01-16T15:30:00+00:00,-0.04846639838931429,-0.04846639838931429,-0.17055962769051797
v1_multitimeframe,03-CLO-2026-01-26,CLO,2026-01-26,2026-01-27T00:00:00+00:00,0.8987370136095483,0.2696211040828645,0.539242208165729,0.001078484416331458,-0.04827864878066392,1,保护止损,2026-01-27T08:05:00+00:00,-0.04935713319699538,-0.04935713319699538,-0.18306108998732576
v1_multitimeframe,04-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02T00:00:00+00:00,0.849379880412553,0.2548139641237659,0.5096279282475318,0.0010192558564950636,0.2940576491289598,2,5m收盘距持仓最高价回撤15%,2026-02-03T09:50:00+00:00,0.2930383932724648,0.2930383932724648,1.150009161704077
v1_multitimeframe,05-SIREN-2026-02-10,SIREN,2026-02-10,2026-02-11T00:00:00+00:00,1.1424182736850177,0.3427254821055053,0.6854509642110106,0.0013709019284220212,-0.011553695353289404,1,5m收盘距持仓最高价回撤15%,2026-02-11T21:50:00+00:00,-0.012924597281711424,-0.012924597281711424,-0.03771122357844606
v1_multitimeframe,06-CYS-2026-02-13,CYS,2026-02-13,2026-02-14T00:00:00+00:00,1.1294936764033063,0.3388481029209919,0.6776962058419838,0.0013553924116839675,0.05486667565675042,1,5m收盘距持仓最高价回撤15%,2026-02-19T05:40:00+00:00,0.05351128324506645,0.05351128324506645,0.1579211534129306
v1_multitimeframe,07-GWEI-2026-02-13,GWEI,2026-02-13,2026-02-14T00:00:00+00:00,1.1294936764033063,0.3388481029209919,0.6776962058419838,0.0013553924116839675,-0.006431409433107676,1,5m收盘距持仓最高价回撤15%,2026-02-19T13:45:00+00:00,-0.007786801844791644,-0.007786801844791644,-0.02298021378212428
v1_multitimeframe,08-VELVET-2026-02-19,VELVET,2026-02-19,2026-02-20T00:00:00+00:00,1.175218157803581,0.35256544734107426,0.7051308946821485,0.0014102617893642971,0.06469001491046902,1,5m收盘距持仓最高价回撤15%,2026-02-24T15:20:00+00:00,0.06327975312110473,0.06327975312110473,0.17948370607028732
v1_multitimeframe,09-GWEI-2026-03-10,GWEI,2026-03-10,2026-03-11T00:00:00+00:00,1.2384979109246856,0.37154937327740567,0.7430987465548113,0.0014861974931096227,-0.01271726905829922,1,5m收盘距持仓最高价回撤15%,2026-03-13T15:25:00+00:00,-0.014203466551408842,-0.014203466551408842,-0.038227669249233986
v1_multitimeframe,10-VELVET-2026-03-17,VELVET,2026-03-17,2026-03-18T00:00:00+00:00,1.2242944443732768,0.367288333311983,0.734576666623966,0.001469153333247932,-0.023651201122239368,1,5m收盘距持仓最高价回撤15%,2026-03-22T08:10:00+00:00,-0.0251203544554873,-0.0251203544554873,-0.06839409852463106
v1_multitimeframe,11-CYS-2026-03-21,CYS,2026-03-21,2026-03-22T00:00:00+00:00,1.2468886927223843,0.3740666078167153,0.7481332156334306,0.0014962664312668612,0.10505409490646078,1,5m收盘距持仓最高价回撤15%,2026-03-22T21:35:00+00:00,0.10355782847519392,0.10355782847519392,0.27684328488881066
v1_multitimeframe,12-SOON-2026-04-10,SOON,2026-04-10,2026-04-11T00:00:00+00:00,1.3027319183929835,0.39081957551789503,0.7816391510357901,0.0015632783020715802,0.11571164175417993,1,5m收盘距持仓最高价回撤15%,2026-04-11T05:30:00+00:00,0.11414836345210835,0.11414836345210835,0.2920743243243241
v1_multitimeframe,13-CLO-2026-04-11,CLO,2026-04-11,2026-04-12T00:00:00+00:00,1.4168802818450918,0.42506408455352757,0.8501281691070551,0.0017002563382141104,-0.07762665931975657,1,保护止损,2026-04-12T00:20:00+00:00,-0.07932691565797068,-0.07932691565797068,-0.18662342583305502
v1_multitimeframe,14-BULLA-2026-04-11,BULLA,2026-04-11,2026-04-12T00:00:00+00:00,1.4168802818450918,0.42506408455352757,0.8501281691070551,0.0017002563382141104,0.2552443684477692,3,5m收盘距持仓最高价回撤15%,2026-04-12T17:20:00+00:00,0.2535441121095551,0.2535441121095551,0.5964844392248969
v1_multitimeframe,15-RAVE-2026-04-21,RAVE,2026-04-21,2026-04-22T00:00:00+00:00,1.5910974782966762,0.47732924348900285,0.9546584869780057,0.0019093169739560114,-0.13761103058617247,1,5m收盘距持仓最高价回撤15%,2026-04-22T04:00:00+00:00,-0.1395203475601285,-0.1395203475601285,-0.29229373532682557
v1_multitimeframe,16-SOON-2026-04-21,SOON,2026-04-21,2026-04-22T00:00:00+00:00,1.5910974782966762,0.47732924348900285,0.9546584869780057,0.0019093169739560114,0.23397107681033955,1,5m收盘距持仓最高价回撤15%,2026-04-25T11:45:00+00:00,0.23206175983638352,0.23206175983638352,0.48616707021791755
v1_multitimeframe,17-EVAA-2026-04-25,EVAA,2026-04-25,2026-04-26T00:00:00+00:00,1.6836388905729316,0.5050916671718795,1.010183334343759,0.002020366668687518,-0.021132460842622495,1,5m收盘距持仓最高价回撤15%,2026-05-03T20:05:00+00:00,-0.023152827511310013,-0.023152827511310013,-0.045838862559241654
v1_multitimeframe,18-RAVE-2026-05-13,RAVE,2026-05-13,2026-05-14T00:00:00+00:00,1.6604860630616216,0.49814581891848647,0.9962916378369729,0.001992583275673946,-0.08282745256808344,1,保护止损,2026-05-15T14:05:00+00:00,-0.08482003584375739,-0.08482003584375739,-0.17027150007583786
v1_multitimeframe,19-GWEI-2026-05-22,GWEI,2026-05-22,2026-05-23T00:00:00+00:00,1.5756660272178642,0.4726998081653592,0.9453996163307185,0.0018907992326614369,-0.07762043445802373,1,保护止损,2026-05-26T17:55:00+00:00,-0.07951123369068516,-0.07951123369068516,-0.168206612986123
v1_multitimeframe,20-VELVET-2026-06-06,VELVET,2026-06-06,2026-06-07T00:00:00+00:00,1.496154793527179,0.4488464380581537,0.8976928761163074,0.001795385752232615,0.24057605989160363,1,5m收盘距持仓最高价回撤15%,2026-06-07T17:40:00+00:00,0.238780674139371,0.238780674139371,0.5319874547125937
v1_multitimeframe,21-SIREN-2026-06-15,SIREN,2026-06-15,2026-06-16T00:00:00+00:00,1.73493546766655,0.520480640299965,1.04096128059993,0.00208192256119986,-0.10636337327342085,1,5m收盘距持仓最高价回撤15%,2026-06-16T09:20:00+00:00,-0.10844529583462072,-0.10844529583462072,-0.20835606060606057
