case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
01-CYS-2026-01-01,v2,CYS,新增样本外,2026-01-01,2026-01-02,0.3517,0.006207142857142863,0.323564,2026-01-03T02:10:00+00:00,0.3221,1,保护止损,-0.08416263861245388,-0.08781867598326243,-0.17563735196652486,-0.10406596531134493,0.07989764003412003,0.5882854705715097,-0.14306428226196247,0.05151482647443241,0.10302965294886482,-0.27866700491538965,False,1.0,1
02-DEXE-2026-01-12,v2,DEXE,样本内,2026-01-12,2026-01-13,3.438,0.013214285714285718,3.16296,2026-01-16T15:30:00+00:00,3.158,1,保护止损,-0.08144269924374647,-0.08510959465594703,-0.17021918931189406,-0.09162303664921467,0.023851076207097144,0.023851076207097144,-3.4146341463414687,-0.1045198724134048,-0.2090397448268096,0.03882055551491553,False,1.0,1
03-CLO-2026-01-26,v2,CLO,新增样本外,2026-01-26,2026-01-27,0.3945,0.0036,0.36294000000000004,2026-01-27T08:05:00+00:00,0.3599,1,保护止损,-0.08770595690747784,-0.09134784929507267,-0.18269569859014534,-0.09556400506970852,0.009885931558935246,0.009885931558935246,-8.871794871794977,-0.15825332857731947,-0.31650665715463894,0.1338109585644936,False,1.0,1
04-BIRB-2026-02-01,v2,BIRB,样本内,2026-02-01,2026-02-02,0.2183,0.004066428571428572,0.200836,2026-02-05T05:25:00+00:00,0.309545,4,V2峰值回撤30%紧急退出,0.41797984425103074,0.41231924607038795,0.8246384921407759,-0.029134218964727454,0.8976179569399909,0.8976179569399909,0.46565450369992345,0.23636391897835118,0.47272783795670237,0.3519106541840735,False,0.8536931818181818,4
05-SIREN-2026-02-10,v2,SIREN,样本内,2026-02-10,2026-02-11,0.10077,0.0014849999999999991,0.0927084,2026-02-11T22:05:00+00:00,0.09923000000000001,2,V2弱趋势分层回撤,-0.01528232608911373,-0.019213334767400753,-0.038426669534801505,-0.060732360821673104,0.16264761337699718,2.725116602163342,-0.005607953097119517,0.2271941182634237,0.4543882365268474,-0.4928149060616489,False,1.0,2
06-CYS-2026-02-13,v2,CYS,新增样本外,2026-02-13,2026-02-14,0.4439,0.0039000000000000068,0.40838800000000003,2026-02-19T09:55:00+00:00,0.47582500000000005,2,V2弱趋势分层回撤,0.07191935120522652,0.06764023203873848,0.13528046407747696,-0.014192385672448848,0.2813696778553727,0.2813696778553727,0.25560448358687005,-0.07399753320572197,-0.14799506641144394,0.2832755304889209,False,1.0,2
07-GWEI-2026-02-13,v2,GWEI,新增样本外,2026-02-13,2026-02-14,0.026382,0.00017271428571428597,0.02427144,2026-02-25T20:45:00+00:00,0.02702325,2,V2弱趋势分层回撤,0.024306345235387772,0.02021729794901897,0.04043459589803794,-0.04901068910620876,0.3569858236676522,0.7702600257751497,0.031556025786132584,0.10583238042147838,0.21166476084295677,-0.17123016494491883,False,1.0,2
08-VELVET-2026-02-19,v2,VELVET,样本内,2026-02-19,2026-02-20,0.07825,0.000954285714285714,0.07199,2026-02-25T15:00:00+00:00,0.0855725,2,V2弱趋势分层回撤,0.09357827476038327,0.0892126928252121,0.1784253856504242,-0.007923322683705991,0.2907348242811503,0.3061980830670925,0.30561352253756235,0.013191508357087779,0.026383016714175558,0.15204236893624865,False,1.0,2
09-GWEI-2026-03-10,v2,GWEI,新增样本外,2026-03-10,2026-03-11,0.051241,0.0006549285714285721,0.04714172,2026-03-13T18:35:00+00:00,0.04959075,2,保护止损,-0.03220565562732969,-0.03606910610386732,-0.07213821220773464,-0.08698112839327887,0.16295544583439026,0.16295544583439026,-0.19763473053892244,0.012685543999528589,0.025371087999057178,-0.09750930020679183,False,1.0,2
10-VELVET-2026-03-17,v2,VELVET,样本内,2026-03-17,2026-03-18,0.07998,0.0004728571428571449,0.0735816,2026-03-22T08:30:00+00:00,0.0775675,2,V2弱趋势分层回撤,-0.030163790947736913,-0.03403539258068,-0.06807078516136,-0.041010252563140726,0.14741185296324089,0.14741185296324089,-0.20462256149279026,0.028635402363565023,0.057270804727130045,-0.12534158988849003,False,1.0,2
11-CYS-2026-03-21,v2,CYS,新增样本外,2026-03-21,2026-03-22,0.5711,0.004471428571428571,0.525412,2026-03-24T15:30:00+00:00,0.6283749999999999,4,保护止损,0.1002889161267726,0.095896545204111,0.191793090408222,-0.04430047277184401,0.34739975485904373,0.34739975485904373,0.28868447580645096,-0.048464443901550774,-0.09692888780310155,0.28872197821132356,False,1.0,4
12-SOON-2026-04-10,v2,SOON,样本外,2026-04-10,2026-04-11,0.1184,0.002599999999999999,0.108928,2026-04-12T21:40:00+00:00,0.13005,3,保护止损,0.09839527027027017,0.09401045881210537,0.18802091762421075,-0.014358108108108114,0.3614864864864864,2.251689189189189,0.0436984246061515,0.0313393483303664,0.0626786966607328,0.12534222096347797,False,1.0,3
13-CLO-2026-04-11,v2,CLO,新增样本外,2026-04-11,2026-04-12,0.08973,0.001947857142857145,0.0825516,2026-04-12T00:20:00+00:00,0.0817,1,保护止损,-0.08949069430513779,-0.09312546199254235,-0.1862509239850847,-0.09550874846762514,0.017051153460380997,0.9304580407890337,-0.09617918313570505,-0.13852468917063912,-0.27704937834127824,0.09079845435619355,False,1.0,1
14-BULLA-2026-04-11,v2,BULLA,新增样本外,2026-04-11,2026-04-12,0.006812,0.00013914285714285707,0.006267040000000001,2026-04-14T08:55:00+00:00,0.00897275,4,V2峰值回撤30%紧急退出,0.31719759248385193,0.3119393186615611,0.6238786373231222,-0.018203170874926622,0.9081033470346445,0.9081033470346445,0.3492967992240543,0.3786493366760311,0.7572986733520622,-0.13342003602894004,False,1.0,4
15-RAVE-2026-04-21,v2,RAVE,样本内,2026-04-21,2026-04-22,1.6186,0.12833357142857144,1.2977660714285715,2026-04-22T12:15:00+00:00,1.3605125,2,保护止损,-0.15945106882491045,-0.16280655358010046,-0.3256131071602009,-0.2519708389966637,0.009088100827876033,0.009088100827876033,-17.54503738953076,-0.3380786678218997,-0.6761573356437994,0.3505442284835985,False,1.0,2
16-SOON-2026-04-21,v2,SOON,样本外,2026-04-21,2026-04-22,0.1652,0.0010142857142857176,0.151984,2026-04-26T18:20:00+00:00,0.20072500000000001,2,V2弱趋势分层回撤,0.21504237288135597,0.21019190432693913,0.42038380865387825,-0.029055690072639417,0.4951573849878934,0.4951573849878934,0.4342909535452324,0.06775432186474495,0.1355086437294899,0.28487516492438836,False,1.0,2
