symbol,signal_date,entry_date,holding_day,date,open,high,low,close,volume,f7c_share,day_high_return,close_return,holding_mfe,close_drawdown_from_holding_high,volume_is_holding_high
CYS,2026-03-21,2026-03-22,1,2026-03-22,0.5711,0.7695,0.5458,0.6407,50769920.0,0.002707620085173401,0.34739975485904373,0.12187007529329352,0.34739975485904373,-0.16738141650422345,True
CYS,2026-03-21,2026-03-22,2,2026-03-23,0.6405,0.7387,0.5805,0.7155,34163113.0,0.002707620085173401,0.2934687445281037,0.2528453860970057,0.34739975485904373,-0.07017543859649111,False
CYS,2026-03-21,2026-03-22,3,2026-03-24,0.7154,0.7209,0.5279,0.5453,26384960.0,0.0026621337755035578,0.26230082297320956,-0.0451759761863072,0.34739975485904373,-0.29135802469135796,False
CYS,2026-03-21,2026-03-22,4,2026-03-25,0.5456,0.6064,0.3951,0.4095,51820984.0,0.0026621337755035578,0.06181054106111006,-0.282962703554544,0.34739975485904373,-0.4678362573099415,True
CYS,2026-03-21,2026-03-22,5,2026-03-26,0.4095,0.4475,0.3276,0.3404,127616256.0,0.0026621337755035578,-0.2164244440553319,-0.40395727543337423,0.34739975485904373,-0.5576348278102664,True
CYS,2026-03-21,2026-03-22,6,2026-03-27,0.3406,0.4136,0.3387,0.3437,59349699.0,0.0026621337755035578,-0.2757835755559447,-0.3981789528979164,0.34739975485904373,-0.5533463287849252,False
CYS,2026-03-21,2026-03-22,7,2026-03-28,0.3439,0.3875,0.3219,0.3711,38539793.0,0.0015153719572054314,-0.32148485379092984,-0.3502013657853267,0.34739975485904373,-0.5177387914230019,False
CYS,2026-03-21,2026-03-22,8,2026-03-29,0.3711,0.3824,0.3116,0.3656,56140010.0,0.0015153719572054314,-0.33041498861845564,-0.35983190334442317,0.34739975485904373,-0.5248862897985704,False
CYS,2026-03-21,2026-03-22,9,2026-03-30,0.3659,0.3805,0.3255,0.3753,43705961.0,0.0015153719572054314,-0.3337419015934162,-0.34284713710383474,0.34739975485904373,-0.5122807017543859,False
CYS,2026-03-21,2026-03-22,10,2026-03-31,0.3753,0.4245,0.3135,0.3177,68782499.0,0.0015608582668752747,-0.25669760112064444,-0.4437051304500088,0.34739975485904373,-0.5871345029239766,False
CYS,2026-03-21,2026-03-22,11,2026-04-01,0.3176,0.3506,0.3,0.3001,40860659.0,0.0015608582668752747,-0.3860970057783225,-0.4745228506391176,0.34739975485904373,-0.610006497725796,False
CYS,2026-03-21,2026-03-22,12,2026-04-02,0.3001,0.325,0.2281,0.2492,55308606.0,0.0015608582668752747,-0.43092278059884437,-0.5636490982314831,0.34739975485904373,-0.6761533463287849,False
CYS,2026-03-21,2026-03-22,13,2026-04-03,0.2492,0.3208,0.219,0.255,81287046.0,0.0015608582668752747,-0.4382770092803363,-0.5534932586237087,0.34739975485904373,-0.668615984405458,False
