group,factor,factor_name,variant,factor_key,target,target_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
F1–F6,F1,F1 转账金额放大,异常触发,f1_trigger,volume_price_confirmation,同日量价确认,30,-0.028750,0.000000,0.286165,-0.992273,0.464286,168,180,0.933333,2125
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,1,0.077876,0.087912,0.297976,3.787358,0.593301,209,209,1.000000,2656
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,3,0.052924,0.065934,0.287828,2.024295,0.589372,207,207,1.000000,2630
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,5,0.035094,0.043956,0.289231,1.098249,0.536585,205,205,1.000000,2604
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,7,0.022023,0.018182,0.291099,0.606213,0.527094,203,203,1.000000,2578
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,14,-0.026499,-0.008242,0.286125,-0.593123,0.489796,196,196,1.000000,2487
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,max_gain,窗口最大涨幅,30,-0.035768,-0.008242,0.278641,-0.641799,0.488889,180,180,1.000000,2279
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,1,-0.017300,-0.005495,0.303761,-0.825314,0.478469,209,209,1.000000,2656
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,3,-0.028520,-0.043956,0.277492,-1.230743,0.449275,207,207,1.000000,2630
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,5,-0.045943,-0.076923,0.262580,-1.699166,0.414634,205,205,1.000000,2604
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,7,-0.057151,-0.068776,0.270692,-1.766421,0.423645,203,203,1.000000,2578
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,14,-0.084221,-0.109890,0.281057,-1.916304,0.352041,196,196,1.000000,2487
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,mean_close_deviation,窗口平均收盘偏离,30,-0.092872,-0.098901,0.260771,-1.573568,0.372222,180,180,1.000000,2279
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,1,-0.058285,-0.043212,0.311885,-2.623025,0.443878,196,209,0.937799,2493
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,3,-0.086437,-0.079469,0.285934,-3.762265,0.388350,206,207,0.995169,2619
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,5,-0.117462,-0.140956,0.275280,-4.426469,0.302439,205,205,1.000000,2604
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,7,-0.124349,-0.110096,0.286818,-3.726919,0.330049,203,203,1.000000,2578
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,14,-0.159140,-0.178037,0.297816,-3.277933,0.316327,196,196,1.000000,2487
F1–F6,F2,F2 转账笔数放大,连续值,f2_value,volume_price_confirmation,同日量价确认,30,-0.167907,-0.179561,0.286018,-2.842291,0.322222,180,180,1.000000,2279
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,1,0.116317,0.154303,0.299502,5.196111,0.612360,178,209,0.851675,2267
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,3,0.118702,0.150344,0.299577,3.932163,0.607955,176,207,0.850242,2241
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,5,0.110804,0.162622,0.301153,3.072329,0.626437,174,205,0.848780,2215
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,7,0.094026,0.113961,0.301127,2.315890,0.616279,172,203,0.847291,2189
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,14,0.077087,0.084515,0.291069,1.781079,0.545455,165,196,0.841837,2098
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,max_gain,窗口最大涨幅,30,0.102090,0.146385,0.266421,2.540826,0.644295,149,180,0.827778,1890
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,1,-0.016993,-0.043401,0.331942,-0.684924,0.432584,178,209,0.851675,2267
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,3,-0.029331,-0.050762,0.311587,-1.083998,0.426136,176,207,0.850242,2241
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,5,-0.017231,-0.056980,0.303429,-0.570918,0.402299,174,205,0.848780,2215
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,7,-0.024182,-0.048795,0.296715,-0.743820,0.395349,172,203,0.847291,2189
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,14,-0.047837,-0.056980,0.322168,-1.001113,0.406061,165,196,0.841837,2098
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,mean_close_deviation,窗口平均收盘偏离,30,0.001077,0.000000,0.290019,0.022759,0.449664,149,180,0.827778,1890
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,1,-0.008758,-0.131662,0.313768,-0.362872,0.315476,168,209,0.803828,2141
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,3,-0.022951,-0.117227,0.290317,-0.864609,0.394286,175,207,0.845411,2230
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,5,-0.030835,-0.117227,0.301929,-0.970449,0.419540,174,205,0.848780,2215
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,7,-0.040207,-0.082258,0.307928,-1.157983,0.412791,172,203,0.847291,2189
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,14,-0.082549,-0.123698,0.305361,-2.051425,0.369697,165,196,0.841837,2098
F1–F6,F2,F2 转账笔数放大,异常触发,f2_trigger,volume_price_confirmation,同日量价确认,30,-0.062077,-0.074219,0.326392,-1.066243,0.436242,149,180,0.827778,1890
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,1,0.097235,0.109890,0.279747,5.036984,0.641148,209,209,1.000000,2656
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,3,0.070935,0.071429,0.272108,2.820488,0.594203,207,207,1.000000,2630
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,5,0.046751,0.049451,0.271996,1.512245,0.546341,205,205,1.000000,2604
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,7,0.018916,0.021978,0.273074,0.560522,0.532020,203,203,1.000000,2578
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,14,-0.030959,-0.016484,0.249590,-0.841345,0.454082,196,196,1.000000,2487
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,max_gain,窗口最大涨幅,30,-0.020191,-0.016484,0.254323,-0.479759,0.483333,180,180,1.000000,2279
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,1,-0.022752,-0.027473,0.296929,-1.110415,0.468900,209,209,1.000000,2656
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,3,-0.041073,-0.049451,0.266566,-1.844766,0.425121,207,207,1.000000,2630
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,5,-0.067016,-0.098901,0.252797,-2.653647,0.360976,205,205,1.000000,2604
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,7,-0.090456,-0.109890,0.257691,-3.085198,0.334975,203,203,1.000000,2578
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,14,-0.119736,-0.140110,0.239190,-3.931059,0.301020,196,196,1.000000,2487
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,mean_close_deviation,窗口平均收盘偏离,30,-0.121440,-0.147069,0.236752,-2.887232,0.311111,180,180,1.000000,2279
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,1,-0.067884,-0.069886,0.306065,-3.113075,0.438776,196,209,0.937799,2493
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,3,-0.087037,-0.074265,0.265379,-4.047873,0.373786,206,207,0.995169,2619
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,5,-0.115827,-0.109808,0.249753,-5.172725,0.317073,205,205,1.000000,2604
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,7,-0.132671,-0.147641,0.242936,-5.620769,0.305419,203,203,1.000000,2578
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,14,-0.176514,-0.195164,0.233939,-6.278241,0.224490,196,196,1.000000,2487
F1–F6,F3,F3 活跃地址扩张,连续值,f3_value,volume_price_confirmation,同日量价确认,30,-0.142272,-0.143458,0.256489,-2.879623,0.277778,180,180,1.000000,2279
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,1,0.097324,0.133631,0.296943,4.222895,0.606061,165,209,0.789474,2102
