symbol,chain,token_address,boundary_date,boundary_timestamp_ms,direction,amount,cex_address,cex_label,hops,root_tx_hash,boundary_tx_hash,boundary_event_id,path_tx_hashes,status,source,reviewed_at,notes
RAVE,eth,0x17205fab260a7a6383a81452ce6315a39370db97,2026-04-20,1776668771000,流入CEX,20000000,0x34e5f57f86bddf03b633c1e2d7e74f652f408114,Bitget Deposit,2,0x0c1b4dd947cf83d7505e23bf63909cc5a0ee3c76297cce6605990178c523a44a,0x3197c3d3f14df75a6d1d87b9a54937ab94a915ad370080afa0308c9e8f09f43c,eth:0x3197c3d3f14df75a6d1d87b9a54937ab94a915ad370080afa0308c9e8f09f43c:591,0x0c1b4dd947cf83d7505e23bf63909cc5a0ee3c76297cce6605990178c523a44a;0x3197c3d3f14df75a6d1d87b9a54937ab94a915ad370080afa0308c9e8f09f43c,confirmed,Arkham+Bubblemaps+Ethereum RPC,2026-07-31,20M RAVE crossed the Bitget boundary once; intermediate hop excluded
ESPORTS,bsc,0xf39e4b21c84e737df08e2c3b32541d856f508e48,2026-07-08,1783512677000,流入CEX,1525555.0084987998,0xc499dabbb8c170cd956c2cbc24c03f394a94942a,Kraken Deposit,3,0x3e89ac3d1d20430f0c48e943a792c54b14ed8f8d0d3a8935e7d9a178f187eb56,0x85c2184e63c4c219bf53cde95a6b58f3572cc5bd7c8e33186ce482e4fe7c196c,bsc:0x85c2184e63c4c219bf53cde95a6b58f3572cc5bd7c8e33186ce482e4fe7c196c:76,0x3e89ac3d1d20430f0c48e943a792c54b14ed8f8d0d3a8935e7d9a178f187eb56;0xefafe368fdc5d2c2a07028c0117bc8680d73b37d6c0099d811a3df193dbc8af3;0x85c2184e63c4c219bf53cde95a6b58f3572cc5bd7c8e33186ce482e4fe7c196c,confirmed,Arkham+Bubblemaps+BNB Chain RPC,2026-07-31,Only the 1.525555M ESPORTS Kraken boundary transfer is counted; earlier path hops excluded
