variant,variant_name,factor,factor_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
trigger,异常触发,F3,F3 活跃地址扩张,7,0.012278,0.000000,0.287309,0.342103,0.490566,159,203,0.783251,2024
trigger,异常触发,F3,F3 活跃地址扩张,14,-0.009432,0.000000,0.282253,-0.247076,0.447368,152,196,0.775510,1933
trigger,异常触发,F3,F3 活跃地址扩张,30,0.067458,0.056980,0.256389,1.376183,0.566176,136,180,0.755556,1730
trigger,异常触发,F4,F4 新地址扩张,1,0.087144,0.082479,0.299453,3.794395,0.597633,169,209,0.808612,2156
trigger,异常触发,F4,F4 新地址扩张,3,0.074744,0.077152,0.308646,2.440276,0.574850,167,207,0.806763,2130
trigger,异常触发,F4,F4 新地址扩张,5,0.037651,0.000000,0.300627,1.152711,0.484848,165,205,0.804878,2104
trigger,异常触发,F4,F4 新地址扩张,7,-0.000644,0.000000,0.293411,-0.018983,0.453988,163,203,0.802956,2078
trigger,异常触发,F4,F4 新地址扩张,14,-0.034931,-0.056980,0.290786,-1.021061,0.391026,156,196,0.795918,1987
trigger,异常触发,F4,F4 新地址扩张,30,0.005984,0.000000,0.275314,0.197992,0.432624,141,180,0.783333,1792
trigger,异常触发,F5,F5 巨额转账,1,0.054282,0.113961,0.292690,2.446413,0.572254,173,209,0.827751,2230
trigger,异常触发,F5,F5 巨额转账,3,0.053486,0.077152,0.294137,1.793825,0.555556,171,207,0.826087,2204
trigger,异常触发,F5,F5 巨额转账,5,0.035289,0.056980,0.298583,1.046338,0.550296,169,205,0.824390,2178
trigger,异常触发,F5,F5 巨额转账,7,0.033126,0.048795,0.305931,0.837844,0.526946,167,203,0.822660,2152
trigger,异常触发,F5,F5 巨额转账,14,0.047659,0.097590,0.312551,0.976811,0.552795,161,196,0.821429,2074
trigger,异常触发,F5,F5 巨额转账,30,0.040042,0.056980,0.336130,0.684275,0.551020,147,180,0.816667,1892
trigger,异常触发,F6,F6 绝对净流冲击,1,0.067882,0.077152,0.299928,2.308203,0.563107,103,209,0.492823,1339
trigger,异常触发,F6,F6 绝对净流冲击,3,0.081267,0.134132,0.275448,2.440997,0.607843,102,207,0.492754,1321
trigger,异常触发,F6,F6 绝对净流冲击,5,0.072056,0.077152,0.283037,1.842844,0.610000,100,205,0.487805,1295
trigger,异常触发,F6,F6 绝对净流冲击,7,0.067176,0.067066,0.279604,1.672587,0.551020,98,203,0.482759,1269
trigger,异常触发,F6,F6 绝对净流冲击,14,0.030379,0.052888,0.273666,0.654372,0.510870,92,196,0.469388,1191
trigger,异常触发,F6,F6 绝对净流冲击,30,0.036789,0.077152,0.252737,0.993447,0.555556,81,180,0.450000,1053
